object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
989,698131,2020/05/21 03:59:59+00,BEN'S BARGAIN CENTER,10713 DIXIE HWY,40272.0,2020/05/22 03:59:59+00,7,FIELD
990,696164,2020/04/07 03:59:59+00,GENERAL ELECTRIC,4000 BUECHEL BANK RD,40225.0,2020/04/22 03:59:59+00,7,FIELD
991,694454,2020/04/02 03:59:59+00,PACKING UNLIMITED,1729 MCCLOSKEY AVE,40210.0,2020/04/08 03:59:59+00,7,FIELD
992,699926,2020/06/24 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/06/25 03:59:59+00,7,FIELD
993,698175,2020/05/21 03:59:59+00,SAVE-A-LOT,2626 PORTLAND AVE,40212.0,2020/05/21 03:59:59+00,7,FIELD
994,696440,2020/04/24 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/04/25 03:59:59+00,7,FIELD
995,694675,2020/04/03 03:59:59+00,WALMART #5183,3800 RUCKRIEGEL PKWY,40299.0,2020/04/07 03:59:59+00,7,FIELD
996,700276,2020/06/27 03:59:59+00,SUBWAY,3935 S 7TH ST,40216.0,2020/06/30 03:59:59+00,7,FIELD
997,698217,2020/05/22 03:59:59+00,DAIRY QUEEN #097,4137 TAYLOR BLVD,40215.0,2020/05/28 03:59:59+00,7,FIELD
998,696468,2020/04/24 03:59:59+00,MCDONALD'S #35,6701 DIXIE HWY,40258.0,2020/04/25 03:59:59+00,7,FIELD
999,695091,2020/04/08 03:59:59+00,POP UP SHOP,7900 SHELBYVILLE ROAD,40222.0,2020/04/09 03:59:59+00,7,FIELD
1000,700654,2020/07/07 03:59:59+00,BURLINGTON,9070 DIXIE HWY,40258.0,2020/07/30 03:59:59+00,7,FIELD
1001,698340,2020/05/27 03:59:59+00,IROQUOIS LAUNDRY,5337 MITSCHER AVE,40214.0,2020/06/15 03:59:59+00,7,FIELD
1002,696629,2020/04/28 03:59:59+00,ALDI #36,5109 DIXIE HWY,40216.0,2020/04/29 03:59:59+00,7,FIELD
1003,700814,2020/07/09 03:59:59+00,UPS,1920 OUTER LOOP,40219.0,2020/08/04 03:59:59+00,7,FIELD
1004,698561,2020/05/29 03:59:59+00,CRACKER BARREL,11000 DIXIE HWY,40272.0,2020/05/29 03:59:59+00,7,FIELD
1005,696710,2020/04/29 03:59:59+00,SPRINT ACCOUNT,1860 OUTER LOOP,40219.0,2020/04/30 03:59:59+00,7,FIELD
1006,698582,2020/05/29 03:59:59+00,THE OAKS AT ST ANDREWS,6817 BROOKLAWN DR,40214.0,2020/06/23 03:59:59+00,7,FIELD
1007,695108,2020/04/07 03:59:59+00,CABELA'S,5100 NORTON HEALTHCARE BLVD,40241.0,2020/04/09 03:59:59+00,7,FIELD
1008,700826,2020/07/09 03:59:59+00,PAPA JOHN'S,5709 BARDSTOWN RD,40291.0,2020/07/10 03:59:59+00,7,FIELD
1009,696801,2020/04/24 03:59:59+00,PANHANDLERS,9500 BROWNSBORO RD,40241.0,2020/04/29 03:59:59+00,7,FIELD
1010,698584,2020/05/29 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/06/02 03:59:59+00,7,FIELD
1011,695202,2020/04/09 03:59:59+00,MIKE LINNIG'S RESTAURANT,9308 CANE RUN RD,40258.0,2020/04/10 03:59:59+00,7,FIELD
1012,700831,2020/07/09 03:59:59+00,LOWE'S,6651 DIXIE HWY,40258.0,2020/07/14 03:59:59+00,7,FIELD
1013,696846,2020/04/24 03:59:59+00,RESIDENCE,1108 HATHAWAY AVE,40215.0,2020/04/30 03:59:59+00,7,FIELD
1014,698747,2020/06/02 03:59:59+00,APARTMENT BUILDING,1844 APPLETON LN UNIT #100,40216.0,2020/06/06 03:59:59+00,7,FIELD
1015,695387,2020/04/13 03:59:59+00,IROQUOIS FRUIT MARKET,5405 NEW CUT RD,40214.0,2020/04/15 03:59:59+00,7,FIELD
1016,701243,2020/07/14 03:59:59+00,BP MINI MART INC,1871 BERRY BLVD,40215.0,2020/07/15 03:59:59+00,7,FIELD
1017,696869,2020/04/30 03:59:59+00,DINO'S II,2601 W BROADWAY,40211.0,2020/04/30 03:59:59+00,7,FIELD
1018,696885,2020/04/30 03:59:59+00,SHELL SELECT #1,4950 BROWNSBORO RD,40222.0,2020/05/01 03:59:59+00,7,FIELD
1019,696895,2020/04/28 03:59:59+00,APARTMENT COMPLEX,1024 MAGAZINE,40203.0,2020/04/30 03:59:59+00,7,FIELD
1020,696960,2020/05/01 03:59:59+00,WALGREENS #6443,990 BAXTER AVE,40204.0,2020/05/04 03:59:59+00,7,FIELD
1021,696970,2020/05/01 03:59:59+00,FAIRDALE VALERO,1101 FAIRDALE RD,40118.0,2020/05/05 03:59:59+00,7,FIELD
1022,697024,2020/05/04 03:59:59+00,ADVANCED AUTO PARTS,12001 SHELBYVILLE RD,40243.0,2020/05/04 03:59:59+00,7,FIELD
1023,697132,2020/05/05 03:59:59+00,BOYZ II MEAN BARBER SHOP,7296 MANSLICK RD,40214.0,2020/05/05 03:59:59+00,7,FIELD
1024,697152,2020/05/05 03:59:59+00,MCDONALD'S,1100 S HURSTBOURNE PKWY,40222.0,2020/05/06 03:59:59+00,7,FIELD
1025,697156,2020/05/05 03:59:59+00,ACE'S SLUSHIE WORLD,1821 W BROADWAY,40203.0,2020/05/06 03:59:59+00,7,FIELD
1026,697215,2020/05/04 03:59:59+00,RESIDENCE,2035 LYTLE ST,40203.0,2020/05/05 03:59:59+00,7,FIELD
1027,697219,2020/05/06 03:59:59+00,TUESDAY MORNING,9240 WESTPORT RD,40242.0,2020/05/08 03:59:59+00,7,FIELD
1028,697299,2020/05/07 03:59:59+00,REV A SHELF,2410 PLANTSIDE DRIVE,40299.0,2020/05/12 03:59:59+00,7,FIELD
1029,697301,2020/05/07 03:59:59+00,INTERNATIONAL PAPER,4400 PROGRESS BLVD,40218.0,2020/05/08 03:59:59+00,7,FIELD
1030,697351,2020/05/08 03:59:59+00,SHORTY'S FOOD MART #3,2133 DIXIE HWY,40210.0,2020/05/11 03:59:59+00,7,FIELD
1031,697431,2020/05/11 03:59:59+00,KROGER L-389,5929 TIMBER RIDGE DR,40059.0,2020/05/12 03:59:59+00,7,FIELD
1032,697481,2020/05/12 03:59:59+00,POPEYE'S,3317 BARDSTOWN RD,40218.0,2020/05/12 03:59:59+00,7,FIELD
1033,697524,2020/05/12 03:59:59+00,PACKAGING UNLIMITED,1729 MCCLOSKEY AVE,40210.0,2020/05/13 03:59:59+00,7,FIELD
1034,697634,2020/05/13 03:59:59+00,BOONE'S MARATHON,521 N 22ND ST,40203.0,2020/05/15 03:59:59+00,7,FIELD
1035,697675,2020/05/13 03:59:59+00,FAMILY DOLLAR #22087,1419 W JEFFERSON ST,40203.0,2020/05/15 03:59:59+00,7,FIELD
1036,697704,2020/05/14 03:59:59+00,ALIGN YOUR SPINE CHIROPRACTIC STE B,4107 BROWNS LN,40220.0,2020/05/15 03:59:59+00,7,FIELD
1037,697935,2020/05/18 03:59:59+00,MEXICANA,6201 PRESTON HWY,40219.0,2020/05/20 03:59:59+00,7,FIELD
1038,698106,2020/05/20 03:59:59+00,PARKWAY PRODUCE,2601 PRESTON HWY,40217.0,2020/05/21 03:59:59+00,7,FIELD
1039,698379,2020/05/27 03:59:59+00,MILESTONE WELLNESS CENTER,750 CYPRESS STATION DR,40207.0,2020/05/28 03:59:59+00,7,FIELD
