reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
709856,2020/11/17 05:00:00+00,FOOD MART SOUTH FLOYD TOBACCO,1271 S FLOYD ST,40203.0,2020/11/17 05:00:00+00,4,SURVEY,447
709857,2020/11/17 05:00:00+00,MI CASITA ON 4TH,520 S 4TH ST,40202.0,2020/11/17 05:00:00+00,4,SURVEY,448
709858,2020/11/17 05:00:00+00,PENDENNIS CLUB BAR,218 W MUHAMMAD ALI BLVD,40202.0,2020/11/17 05:00:00+00,4,SURVEY,449
709859,2020/11/17 05:00:00+00,PENDENNIS CLUB,218 W MUHAMMAD ALI BLVD,40202.0,2020/11/17 05:00:00+00,4,SURVEY,450
709932,2020/11/17 05:00:00+00,GARDEN GATE FRUIT MARKET,4411 BRECKENRIDGE LN,40218.0,2020/11/17 05:00:00+00,4,SURVEY,451
709933,2020/11/17 05:00:00+00,LUCKY STAR PETRO,4527 BARDSTOWN RD,40218.0,2020/11/17 05:00:00+00,4,SURVEY,452
709935,2020/11/17 05:00:00+00,FIESTA MEXICANA #3,4507 BARDSTOWN RD,40218.0,2020/11/17 05:00:00+00,4,SURVEY,453
710682,2020/11/17 05:00:00+00,PAWSITIVELY DOGS,1821 BROWNSBORO RD.,40206.0,2020/11/17 05:00:00+00,4,SURVEY,454
709418,2020/11/18 05:00:00+00,BRAVO CUCINA ITALIANA,206 BULLITT LN,40222.0,2020/11/18 05:00:00+00,4,SURVEY,455
709420,2020/11/18 05:00:00+00,ASPEN CREEK GRILL,302 BULLITT LN,40222.0,2020/11/18 05:00:00+00,4,SURVEY,456
709421,2020/11/18 05:00:00+00,CULVER'S OF LOUISVILLE,4630 S HURSTBOURNE PKWY,40299.0,2020/11/18 05:00:00+00,4,SURVEY,457
709422,2020/11/18 05:00:00+00,MEIJER #160 GAS,4600 S HURSTBOURNE PKWY,40299.0,2020/11/18 05:00:00+00,4,SURVEY,458
709426,2020/11/18 05:00:00+00,ASIAN BAZAAR,MOBILE TRAILER 1429,40202.0,2020/11/18 05:00:00+00,4,SURVEY,459
709427,2020/11/18 05:00:00+00,TEMPLE PRE-SCHOOL,5101 US HWY 42,40241.0,2020/11/18 05:00:00+00,4,SURVEY,460
709428,2020/11/18 05:00:00+00,KINDER CARE,2013 HERR LN,40222.0,2020/11/18 05:00:00+00,4,SURVEY,461
709429,2020/11/18 05:00:00+00,FIRST KIDS,7700 US HWY 42,40241.0,2020/11/19 05:00:00+00,4,SURVEY,462
709430,2020/11/18 05:00:00+00,PETITE ACADEMY,9505 US HWY 42,40059.0,2020/11/18 05:00:00+00,4,SURVEY,463
709461,2020/11/18 05:00:00+00,KROGER L-400,4009 POPLAR LEVEL RD,40213.0,2020/11/18 05:00:00+00,4,SURVEY,464
709466,2020/11/18 05:00:00+00,O'REILY'S,5117 PRESTON HWY,40213.0,2020/11/18 05:00:00+00,4,SURVEY,465
709467,2020/11/18 05:00:00+00,OLLIES,5613 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,4,SURVEY,466
709470,2020/11/18 05:00:00+00,SHARP MART,5609 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,4,SURVEY,467
709473,2020/11/18 05:00:00+00,ROSES DISCOUNT STORES,5607 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,4,SURVEY,468
709477,2020/11/18 05:00:00+00,CITI TRENDS,5611 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,4,SURVEY,469
709481,2020/11/18 05:00:00+00,HIBBET'S SPORTS,5769 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,4,SURVEY,470
709484,2020/11/18 05:00:00+00,AUTOZONE,6231 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,4,SURVEY,471
709490,2020/11/18 05:00:00+00,BIG LOTS #1686,6201 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,4,SURVEY,472
709492,2020/11/18 05:00:00+00,FEEDERS SUPPLY,12949 SHELBYVILLE RD,40243.0,2020/11/18 05:00:00+00,4,SURVEY,473
