crimeid_UK_CSV0000000000000587,monthvalue_UK_CSV0000000000000587,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000007347,monthvalue_UK_CSV0000000000007347
e9c658ab13137143c3a1e212fa1736add2bcef0c1903b580ad97c325c4a27567,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241286,52.57402,On or near MIDGATE,E01015599,Peterborough 014A,Suspect charged,,
ca06171efdd6a07b766e88fb06496fc45b4d0bf5619757d1c194c90129386dc0,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.24029,52.590063,On or near DOGSTHORPE ROAD,E01015654,Peterborough 012E,Investigation complete; no suspect identified,,
b79d9df73edb1061910b9723cb2e4feadc004005ae9083faeb558b57c82d5894,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121266,52.205885,On or near Shopping Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified,,
dcdb389175aac4d908b27eb4ce407a94209c1004d2a3041a0cca4b042e0b37cc,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133546,52.226678,On or near HAVILAND WAY,E01017975,Cambridge 001A,Investigation complete; no suspect identified,,
44af613c2125f09ba6aa12fd99a6ad99240f4cdf6b93087b95aaca13b8067112,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.049745,52.450724,On or near WOOD STREET,E01018110,Fenland 011E,Further action is not in the public interest,,
36e3573eab845f36b5ce69e1500df8c98fad790ede63058fa199d9c3a8bc8a59,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.210297,52.132449,On or near THE CLOSE,E01018289,South Cambridgeshire 017D,Investigation complete; no suspect identified,,
f63ae67ced0af2f60c2162c72bf378e38128bcd26e7e643d83b648b925a024a4,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133349,52.206063,On or near BURLEIGH PLACE,E01017983,Cambridge 007C,Investigation complete; no suspect identified,,
a70caa8d573104d4c28b2b502b8f0012d84113c64fc031a2f8b85a5e3233d012,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227275,52.584789,On or near EASTFIELD ROAD,E01015615,Peterborough 013E,Local resolution,,
d920586540f00f817194a627fcc9a66d72e2130cd0142597d9707222976a98fb,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.270246,52.228108,On or near Supermarket,E01018187,Huntingdonshire 019A,Unable to prosecute suspect,,
39d8daf32aa9a24e8574250deeb74b3675b1b6a7baca399bc5b78e23ecff0917,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227275,52.584789,On or near EASTFIELD ROAD,E01015615,Peterborough 013E,Local resolution,,
3104034c595928009a222ee5051a0d66574f62ad6d4958baf3fe80c04f2e3bd7,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284663,52.592782,On or near BENLAND,E01015594,Peterborough 011C,Unable to prosecute suspect,,
7d8f842ef0365b698ef3631bfc3c086b0b0d63a472878b036623607734c3f623,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227275,52.584789,On or near EASTFIELD ROAD,E01015615,Peterborough 013E,Local resolution,,
db094fdf613e43fe0d7f7d4c493d8d27b940508cfaa1217d6a51023f45aba4a0,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241376,52.57287,On or near DEAN'S COURT,E01015599,Peterborough 014A,Investigation complete; no suspect identified,,
be68d89237236312f918db98a21e1191fc99cd63e596b9fedd121a274cba1715,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.260197,52.586518,On or near Prison,E01015661,Peterborough 010D,Suspect charged,,
54d01c4df612ef37f416b1a84f4ec1cf2cacf4353e2a3f135bbddb3e14b3b9de,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119079,52.205151,On or near LION YARD,E01032797,Cambridge 007G,Investigation complete; no suspect identified,,
