object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1822.0,695955.0,2020/04/17 03:59:59+00,EXTENDED STAY AMERICA,6101 DUTCHMANS LANE,40205.0,2020/04/20 03:59:59+00,7,FIELD
1823.0,701965.0,2020/07/21 03:59:59+00,CHURCHILL DOWNS BACKSIDE,700 CENTRAL AVE,40208.0,2020/07/29 03:59:59+00,7,FIELD
1824.0,697177.0,2020/05/05 03:59:59+00,HOME SKATEBOARD SHOP,1553 BARDSTOWN ROAD,40205.0,2020/05/06 03:59:59+00,7,FIELD
1825.0,695992.0,2020/04/20 03:59:59+00,PANERA BREAD #1669,13000 SHELBYVILLE RD,40223.0,2020/04/21 03:59:59+00,7,FIELD
1826.0,701985.0,2020/07/22 03:59:59+00,AYA FOOD MART,438 N 28TH ST,40212.0,2020/07/23 03:59:59+00,7,FIELD
1827.0,697206.0,2020/05/06 03:59:59+00,RESIDENCE,5912 BLUESTONE RD,40219.0,2020/05/06 03:59:59+00,7,FIELD
1828.0,696010.0,2020/04/17 03:59:59+00,HAIR PRINTS,"4300 OUTER LOOP, UNIT 4",40219.0,2020/04/23 03:59:59+00,7,FIELD
1829.0,701992.0,2020/07/22 03:59:59+00,DAIRY QUEEN,11699 DIXIE HWY,40272.0,2020/07/28 03:59:59+00,7,FIELD
1830.0,697232.0,2020/05/06 03:59:59+00,FIRST BAPTIST CHURCH OF MIDDLETOWN,11721 MAIN ST,40243.0,2020/05/06 03:59:59+00,7,FIELD
1831.0,696063.0,2020/04/20 03:59:59+00,LAUNDRY CONNECTIONS,4944 POPLAR LEVEL ROAD,40219.0,2020/04/22 03:59:59+00,7,FIELD
1832.0,702131.0,2020/07/25 03:59:59+00,BAXTER BAR & GRILL,942 BAXTER AVE,40204.0,2020/07/25 03:59:59+00,7,FIELD
1833.0,697262.0,2020/05/05 03:59:59+00,SHORTY'S FOOD MART #4,1711 W BROADWAY,40203.0,2020/05/11 03:59:59+00,7,FIELD
1834.0,696069.0,0220/04/20 03:59:59+00,BUSY BROMOS,9127 GALENmE DRIVE,40398.0,2020/04/21 03:59:59+00,7,FIELD
1835.0,702139.0,2020/07/24 03:59:59+00,FIVE STAR FOOD MART,9501 CANE RUN RD,40272.0,2020/07/28 03:59:59+00,7,FIELD
1836.0,697281.0,2020/05/06 03:59:59+00,PACKAGING UNLIMITED,1121 W KENTUCKY ST,40210.0,2020/05/11 03:59:59+00,7,FIELD
1837.0,696206.0,2020/04/22 03:59:59+00,GLENVIEW CONDOS,5100 U S HWY 42 UNIT 1011,40241.0,2020/04/23 03:59:59+00,7,FIELD
1838.0,702274.0,2020/07/25 03:59:59+00,INSOMNIA COOKIES,1913 S 4TH ST,40208.0,2020/07/28 03:59:59+00,7,FIELD
1839.0,697362.0,2020/05/08 03:59:59+00,KROGER L-224,2200 BROWNSBORO RD,40206.0,2020/05/13 03:59:59+00,7,FIELD
1840.0,696207.0,2020/04/14 03:59:59+00,UNKNOWN,2354 GRINSTEAD DR,40204.0,2020/04/16 03:59:59+00,7,FIELD
1841.0,702288.0,2020/07/28 03:59:59+00,ALPHA ENERGY SOLUTIONS,7200 DISTRIBUTION DR,40218.0,2020/09/02 03:59:59+00,7,FIELD
1842.0,697527.0,2020/05/12 03:59:59+00,CARRABBA'S ITALIAN GRILL #6801,617 S HURSTBOURNE PKWY,40223.0,2020/05/13 03:59:59+00,7,FIELD
1843.0,696241.0,2020/04/21 03:59:59+00,NO HATERS MOTORCYCLE CLUB,1120 S 36TH ST,40211.0,2020/04/22 03:59:59+00,7,FIELD
1844.0,708134.0,2020/11/03 05:00:00+00,J & J CAFE,3441 BRECKENRIDGE LN,40299.0,2020/11/25 05:00:00+00,7,FIELD
1845.0,702296.0,2020/07/27 03:59:59+00,TARGET T-2473 STARBUCKS,4174 WESTPORT RD,40207.0,2020/07/28 03:59:59+00,7,FIELD
1846.0,697559.0,2020/05/12 03:59:59+00,LIMESTONE TITLE & ESCROW,10503 TIMBERWOOD CIR,40223.0,2020/05/14 03:59:59+00,7,FIELD
1847.0,696309.0,2020/04/23 03:59:59+00,SAM'S CLUB #8276,6622 PRESTON HWY,40219.0,2020/04/28 03:59:59+00,7,FIELD
1848.0,702535.0,2020/07/30 03:59:59+00,TOWN & COUNTY FORD,6015 PRESTON HWY,40219.0,2020/09/10 03:59:59+00,7,FIELD
