isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
Verizon,968.54,139.01,0.00%,35.4,8.06,35.92,4.46%,9.29,South West,0.00%,7.94,FTTC,0.00%,455642.0,35.22,10.1,0.00%
Comcast,653.83,298.35,0.00%,208.58,21.0,216.88,4.17%,18.56,West Midlands,0.00%,20.73,Cable,0.00%,655992.0,205.93,15.81,0.00%
Comcast,612.51,222.2,0.09%,66.33,18.59,72.73,3.46%,13.55,North East,0.00%,18.14,FTTP,0.00%,148436.0,61.72,16.88,0.00%
Sky,521.32,193.72,0.06%,43.53,17.68,44.39,4.96%,20.81,Scotland,0.00%,16.74,FTTC,2.63%,940992.0,40.47,23.09,0.00%
Comcast,1309.53,245.29,0.07%,30.96,4.96,31.68,8.18%,20.76,North East,0.00%,4.62,FTTC,0.00%,816677.0,30.85,22.09,1.39%
Comcast,976.05,129.96,0.07%,73.09,18.59,73.04,3.58%,5.78,East,0.00%,18.37,FTTC,0.00%,146348.0,64.19,8.52,0.00%
AT&T,539.68,244.43,0.02%,46.75,17.89,48.63,3.31%,27.67,Scotland,0.00%,17.66,FTTC,3.21%,1014826.0,43.73,31.44,0.00%
Sky,1000.32,105.58,0.01%,51.64,18.46,54.36,2.81%,7.06,South West,0.00%,17.76,FTTC,0.00%,143192.0,50.13,22.72,0.00%
Comcast,581.91,285.43,0.00%,382.62,36.29,378.62,0.00%,18.3,Scotland,0.00%,34.25,Cable,0.00%,947704.0,379.53,11.95,0.00%
AT&T,1201.91,405.01,0.26%,9.81,1.09,9.99,3.57%,16.02,Wales,0.00%,0.96,ADSL2,0.14%,942508.0,9.55,16.97,1.16%
Virgin,2306.5,735.6,0.07%,5.61,0.79,5.49,1.55%,25.42,East,0.00%,0.63,ADSL2,0.00%,141568.0,5.01,24.22,7.41%
Verizon,1014.14,244.56,0.00%,66.02,18.57,67.18,3.61%,9.13,North West,0.00%,18.4,FTTC,0.00%,663114.0,65.14,9.86,0.00%
Virgin,1067.06,416.71,0.02%,11.94,0.88,13.92,3.46%,23.11,West Midlands,0.00%,0.71,ADSL2,0.13%,251380.0,11.54,10.99,0.00%
Virgin,507.86,284.25,0.03%,37.27,9.28,36.93,2.72%,17.95,Yorkshire & Humberside,0.00%,9.25,FTTC,0.00%,974998.0,37.25,3.4,0.00%
Virgin,404.75,101.84,0.04%,74.72,18.67,74.7,1.35%,5.24,South East,0.00%,18.62,FTTC,0.00%,942426.0,73.93,4.42,0.00%
Verizon,1048.18,336.06,0.05%,25.78,7.89,27.03,3.45%,11.65,East Midlands,0.00%,7.68,FTTC,0.00%,250046.0,25.43,14.08,0.00%
Sky,1023.12,165.88,0.00%,37.09,9.32,37.07,3.64%,9.78,Yorkshire & Humberside,0.00%,9.24,FTTC,0.00%,146104.0,37.03,10.96,0.00%
Verizon,595.08,105.38,0.00%,70.29,18.59,72.07,3.70%,8.51,Yorkshire & Humberside,0.00%,18.36,FTTC,0.00%,653772.0,69.58,10.99,0.00%
Sky,1380.1,265.19,0.00%,37.66,7.88,39.47,2.12%,28.55,Scotland,0.00%,7.8,FTTC,2.40%,172406.0,37.57,35.65,3.72%
Sky,1036.95,296.35,0.01%,51.52,18.59,52.77,3.58%,7.25,South East,0.00%,15.86,FTTC,0.00%,812750.0,51.0,15.99,0.00%
Sky,1123.41,278.1,0.00%,22.45,4.72,22.43,3.55%,21.89,South East,0.00%,4.52,FTTC,0.00%,15203.0,22.1,35.46,0.00%
Virgin,490.97,185.32,0.05%,35.96,9.35,37.15,3.49%,8.08,South East,0.00%,9.11,FTTC,0.00%,950710.0,34.41,8.35,0.00%
Verizon,490.14,170.64,0.01%,55.45,15.22,55.95,3.46%,18.86,Northern Ireland,0.00%,15.06,FTTC,0.00%,947256.0,54.91,19.08,0.00%
Comcast,956.25,228.5,0.01%,131.58,36.66,129.38,3.49%,16.63,East,0.00%,36.3,Cable,0.00%,62610.0,122.19,12.61,0.00%
Verizon,1172.9,272.58,0.12%,49.83,18.56,54.49,5.83%,16.64,Scotland,0.00%,17.98,FTTC,0.00%,34039.0,47.94,21.98,0.00%
AT&T,486.69,167.76,0.03%,50.95,16.99,47.0,4.52%,15.37,North West,0.00%,16.19,FTTC,0.00%,984769.0,49.04,15.78,0.43%
Verizon,500.16,169.9,0.00%,35.48,18.1,37.02,3.70%,16.08,South West,0.00%,18.01,FTTC,0.00%,940594.0,35.2,16.13,0.00%
Comcast,544.06,302.99,0.00%,358.92,36.92,371.37,1.33%,19.97,Northern Ireland,0.00%,36.68,Cable,0.00%,947328.0,339.55,12.24,0.00%
Verizon,1059.23,363.56,0.01%,39.73,8.08,39.41,3.44%,10.26,Yorkshire & Humberside,0.00%,7.83,FTTC,0.00%,30587.0,39.51,12.18,0.00%
Sky,1266.9,659.63,0.08%,29.01,7.14,29.16,3.41%,10.1,Yorkshire & Humberside,0.00%,6.93,FTTC,0.00%,143516.0,28.92,23.7,0.35%
Comcast,583.38,153.68,0.04%,35.59,9.3,36.06,5.41%,10.26,East,0.00%,9.24,FTTC,6.35%,252078.0,35.56,78.99,1.67%
Verizon,1005.71,382.17,0.00%,69.24,17.89,68.7,3.48%,10.34,London,0.00%,15.97,FTTC,0.00%,33356.0,68.59,32.33,0.00%
Sky,1057.65,315.92,0.27%,28.2,9.25,29.63,3.49%,6.64,South East,0.00%,8.44,FTTC,0.56%,143270.0,25.66,24.3,0.00%
Comcast,634.22,266.97,0.06%,189.08,35.29,188.45,4.33%,14.98,South East,0.00%,33.99,Cable,0.00%,657892.0,129.84,24.44,0.33%
Verizon,1050.44,129.9,0.13%,45.59,13.56,45.26,3.54%,10.37,Wales,0.00%,13.25,FTTC,0.00%,812786.0,45.46,17.65,0.00%
Verizon,981.75,275.45,0.22%,63.39,18.58,63.96,3.46%,15.38,Scotland,0.00%,18.41,FTTC,0.00%,146884.0,60.93,17.85,0.00%
Verizon,1005.01,242.73,0.04%,23.69,2.72,23.69,3.47%,13.25,North East,0.00%,2.55,FTTC,0.00%,147758.0,23.51,15.11,0.00%
Comcast,660.62,278.5,0.00%,369.29,36.82,371.75,3.56%,15.39,East,0.00%,22.69,Cable,0.00%,816841.0,353.99,13.51,0.00%
Verizon,452.2,185.34,0.13%,42.35,8.3,43.31,2.89%,9.65,Yorkshire & Humberside,0.00%,7.86,FTTC,0.00%,942754.0,41.65,6.16,0.00%
Verizon,704.98,181.99,0.03%,47.42,13.49,48.98,4.48%,19.84,North West,0.00%,12.96,FTTC,0.00%,656634.0,44.41,20.29,0.00%
Verizon,1142.39,338.14,0.12%,37.69,14.08,35.89,4.12%,33.24,Scotland,0.00%,9.93,FTTC,0.00%,155798.0,36.83,18.14,1.71%
Comcast,738.72,645.67,3.26%,158.74,21.12,170.64,12.90%,19.42,Scotland,0.00%,20.91,Cable,1.67%,813741.0,153.39,10.49,10.81%
Virgin,946.2,129.22,0.02%,72.48,18.64,71.2,2.38%,11.97,Yorkshire & Humberside,0.00%,18.21,FTTC,0.00%,815291.0,72.09,5.23,0.00%
Comcast,999.23,104.87,0.25%,58.14,10.35,59.64,3.16%,7.83,South East,0.00%,10.09,FTTC,0.61%,202330.0,56.29,9.68,0.00%
Verizon,982.91,241.38,0.14%,70.21,18.6,69.68,3.48%,9.43,South West,0.00%,18.12,FTTC,0.00%,143230.0,70.19,11.46,0.00%
Comcast,537.01,250.57,0.00%,380.15,36.83,364.05,6.45%,15.81,West Midlands,0.00%,35.37,Cable,0.00%,665772.0,362.96,22.19,0.00%
Virgin,601.64,200.08,0.02%,37.11,8.82,36.44,5.69%,21.06,Northern Ireland,0.00%,8.64,FTTC,0.00%,945212.0,36.03,23.76,0.00%
Verizon,1001.69,138.48,0.01%,58.71,17.07,58.95,2.37%,5.39,London,0.00%,16.68,FTTC,0.00%,813849.0,58.11,5.92,0.00%
Verizon,2018.03,795.01,0.32%,7.18,1.08,6.96,6.49%,21.39,Northern Ireland,0.00%,0.64,FTTC,0.00%,660220.0,6.46,26.12,11.24%
Verizon,474.07,185.47,0.00%,28.85,4.22,28.86,3.61%,10.63,Wales,0.00%,3.95,FTTC,0.00%,947380.0,28.83,11.46,0.00%
Verizon,628.76,283.36,0.03%,70.84,18.77,70.92,2.69%,15.22,Scotland,0.00%,18.44,FTTC,0.00%,939980.0,70.75,17.61,0.00%
AT&T,536.21,237.99,0.18%,27.04,7.63,26.49,2.97%,7.59,South East,0.00%,7.19,FTTC,0.00%,984375.0,26.26,16.79,0.00%
Comcast,500.63,303.23,0.17%,161.72,10.02,160.07,3.82%,18.02,Yorkshire & Humberside,0.00%,8.93,Cable,0.65%,984803.0,149.29,14.65,0.00%
Comcast,1105.16,283.69,0.13%,28.52,8.98,30.04,6.69%,24.1,Scotland,0.00%,8.58,FTTC,0.00%,250010.0,27.43,26.28,2.25%
Sky,984.09,223.68,0.05%,67.32,18.57,67.32,6.51%,9.39,East Midlands,0.00%,18.12,FTTC,0.00%,42225.0,64.56,11.3,0.00%
Comcast,644.14,208.62,0.04%,151.14,10.08,158.73,3.23%,19.94,South East,0.00%,9.58,Cable,0.00%,660048.0,140.3,14.17,0.00%
Verizon,956.04,95.02,0.01%,52.74,18.58,52.22,2.92%,5.49,South East,0.00%,17.95,FTTC,0.00%,146144.0,52.39,7.39,0.00%
Comcast,703.43,433.36,0.08%,31.86,9.27,32.64,1.95%,8.93,South East,0.00%,9.01,FTTC,0.00%,975418.0,31.48,7.22,1.94%
Verizon,1063.95,255.81,0.07%,26.68,10.37,26.6,3.91%,26.7,Scotland,0.00%,9.3,FTTC,0.00%,143730.0,24.3,28.77,0.63%
Sky,1005.92,126.61,0.00%,65.34,18.6,65.27,3.49%,12.44,North East,0.00%,18.42,FTTC,0.00%,813527.0,64.37,14.95,0.00%
Virgin,443.84,120.9,0.02%,34.93,9.34,35.59,3.76%,7.05,East,0.00%,9.06,FTTC,0.00%,941238.0,33.78,5.68,0.00%
Sky,615.33,108.05,0.22%,63.76,18.47,63.01,4.20%,10.03,East Midlands,0.00%,17.78,FTTC,0.00%,800202.0,62.2,24.92,0.00%
Virgin,2539.3,1169.73,0.23%,3.44,0.65,3.31,11.15%,27.0,South West,0.00%,0.58,ADSL2,0.00%,141592.0,3.43,25.96,100.00%
Sky,1044.21,159.83,0.00%,50.14,9.21,50.98,3.52%,14.87,Scotland,0.00%,9.13,FTTC,0.87%,34059.0,49.65,23.46,0.00%
Virgin,2347.3,968.87,0.13%,5.09,0.81,5.06,3.65%,40.15,South West,0.00%,0.7,ADSL2,0.00%,941000.0,5.01,35.25,0.88%
Verizon,449.03,153.07,0.49%,284.87,51.87,288.35,2.65%,6.35,East,0.00%,50.61,FTTP,0.00%,987105.0,280.39,16.63,0.00%
Comcast,889.72,352.75,0.08%,48.1,10.04,49.77,6.25%,16.32,Scotland,0.00%,9.59,FTTC,0.00%,528732.0,47.89,16.44,1.83%
Sky,1305.48,397.54,0.03%,15.95,6.93,20.26,3.72%,20.29,Scotland,0.00%,6.62,FTTC,0.00%,249958.0,14.0,33.25,0.00%
Verizon,542.8,64.8,0.01%,146.69,29.0,148.3,3.10%,6.2,West Midlands,0.00%,28.31,FTTP,0.00%,656054.0,144.54,7.27,0.00%
Verizon,914.59,254.99,0.02%,49.42,15.79,52.36,3.99%,8.38,London,0.00%,14.86,FTTC,0.00%,142086.0,47.06,9.53,0.00%
Verizon,969.89,87.89,0.00%,72.97,20.05,74.24,3.50%,6.04,South West,0.00%,17.88,FTTP,0.00%,814783.0,70.16,7.45,0.00%
Verizon,825.99,333.09,1.36%,20.38,0.99,20.57,0.00%,28.06,South West,0.00%,0.84,ADSL2,0.00%,941850.0,20.26,47.65,0.00%
Virgin,967.57,136.42,0.04%,64.81,18.69,64.85,3.54%,11.86,South West,0.00%,18.51,FTTC,0.00%,143600.0,63.98,7.34,0.00%
Comcast,595.82,262.82,0.00%,52.51,4.76,54.24,3.49%,16.69,East,0.00%,4.53,Cable,0.00%,421748.0,50.98,11.16,0.00%
AT&T,570.44,199.28,0.01%,42.32,18.9,67.16,4.12%,23.24,Scotland,0.00%,17.98,FTTC,0.00%,996911.0,46.7,24.16,0.00%
Virgin,438.51,123.89,0.06%,34.36,9.33,34.62,3.25%,6.19,London,0.00%,9.24,FTTC,0.00%,940958.0,34.23,5.65,0.00%
Comcast,513.09,276.0170854,0.00%,110.1,10.03,110.61,3.64%,16.98,South West,0.00%,9.88,Cable,0.00%,1012174.0,108.78,15.21,0.00%
Sky,1174.28,291.71,0.34%,18.98,3.63,21.23,5.51%,15.45,South East,0.00%,3.02,FTTC,0.16%,813511.0,17.97,20.47,0.82%
Verizon,1016.5,274.9,0.00%,53.93,10.76,53.04,3.58%,14.27,North West,0.00%,10.53,FTTC,0.00%,520218.0,53.63,14.73,0.00%
Verizon,1143.16,299.42,0.05%,27.04,7.39,25.41,0.00%,11.45,Yorkshire & Humberside,0.00%,6.93,FTTC,0.00%,168740.0,25.44,8.98,0.00%
Verizon,816.32,323.85,0.07%,17.02,3.58,17.19,3.21%,8.28,South East,0.00%,3.12,FTTC,0.00%,660000.0,16.82,10.27,0.00%
Verizon,982.77,212.81,0.01%,57.67,18.57,57.77,3.48%,11.65,North West,0.00%,18.06,FTTC,0.00%,34534.0,56.26,12.66,0.00%
Verizon,637.03,161.46,0.02%,74.09,18.58,73.48,4.53%,18.01,Scotland,0.00%,17.93,FTTC,0.00%,947436.0,74.01,17.94,0.00%
Comcast,637.94,285.79,0.00%,157.12,10.02,157.26,3.88%,16.2,London,0.00%,9.6,Cable,0.00%,669054.0,157.03,12.3,0.00%
Verizon,573.49,97.8,0.00%,203.51,20.06,201.76,4.24%,10.36,Yorkshire & Humberside,0.00%,19.9,FTTP,0.00%,656066.0,202.47,11.96,0.00%
Verizon,997.1,268.61,0.12%,70.22,17.75,70.46,3.75%,11.38,West Midlands,0.00%,17.5,FTTC,0.00%,520176.0,69.61,13.37,0.00%
Comcast,612.46,230.83,0.00%,212.39,21.03,216.95,3.46%,14.56,London,0.00%,20.91,Cable,0.00%,159762.0,205.67,12.72,0.00%
