isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
Verizon,958.85,84.51,0.01%,72.08,20.55,71.97,3.47%,5.72,East,0.00%,20.48,FTTP,0.00%,35259.0,72.06,7.39,0.00%
Verizon,485.17,111.11,0.02%,61.37,18.57,60.45,0.40%,11.0,Wales,0.00%,17.7,FTTC,0.13%,947430.0,60.37,13.1,0.00%
Verizon,476.81,117.23,0.00%,71.08,18.47,71.3,0.00%,11.69,Wales,0.00%,18.31,FTTC,0.00%,947278.0,70.72,27.54,0.00%
Verizon,505.67,128.48,0.01%,61.97,15.83,62.24,3.46%,12.85,Wales,0.00%,15.7,FTTC,0.00%,947248.0,61.94,23.07,0.00%
Virgin,561.65,162.62,0.01%,27.14,6.71,27.32,2.68%,7.41,East,0.00%,6.14,FTTC,0.00%,941576.0,26.43,9.59,0.00%
Comcast,486.78,250.73,0.00%,350.46,36.67,371.71,3.88%,14.27,East,0.00%,36.25,Cable,0.00%,21353989.0,345.07,11.9,0.00%
Virgin,1145.38,419.96,0.53%,20.3,8.52,21.72,3.40%,25.55,North East,0.00%,7.21,FTTC,0.15%,257794.0,18.75,12.63,1.13%
Comcast,645.01,256.48,0.07%,381.03,36.63,382.28,3.60%,14.52,Yorkshire & Humberside,0.00%,32.52,Cable,0.11%,257778.0,376.46,12.74,0.00%
Virgin,1007.99,276.96,0.02%,36.76,9.34,36.78,3.13%,16.57,East,0.00%,9.14,FTTC,0.00%,48550.0,36.15,14.5,0.00%
Sky,1024.29,165.09,0.00%,48.88,18.47,48.93,3.46%,16.02,South West,0.00%,18.01,FTTC,0.00%,146146.0,48.21,29.92,0.00%
Verizon,980.35,261.67,0.06%,33.11,9.16,32.89,3.92%,15.76,South East,0.00%,8.84,FTTC,0.00%,144738.0,27.67,22.16,0.00%
Verizon,1060.2,268.84,0.01%,70.94,18.45,70.95,3.47%,10.89,Yorkshire & Humberside,0.00%,18.39,FTTC,0.00%,812730.0,70.91,18.45,0.00%
Comcast,1025.9,271.24,0.19%,77.4,10.03,79.38,3.20%,15.03,South East,0.00%,9.79,Cable,0.00%,814087.0,76.76,13.21,0.00%
Comcast,472.13,288.8361212,0.01%,54.43,5.0,54.37,6.98%,19.11,Scotland,0.00%,4.92,Cable,0.00%,1001492.0,54.19,12.26,0.00%
Sky,987.21,102.18,0.00%,58.54,17.63,58.44,3.65%,7.1,South East,0.00%,16.97,FTTC,0.00%,206302.0,57.71,24.36,0.00%
