indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2007-2010,6,2-5 years,0.1,12.7,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2009-2012,7,2-5 years,0.1,14.9,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2011-2014,8,2-5 years,0.1,14.6,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2013-2016,9,2-5 years,0.1,16.3,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2015-2018,10,2-5 years,0.1,16.3,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1988-1994,1,2-5 years,0.1,12.3,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,2,2-5 years,0.1,12.2,3.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2001-2004,3,2-5 years,0.1,15.7,3.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2003-2006,4,2-5 years,0.1,14.5,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2005-2008,5,2-5 years,0.1,10.8,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2007-2010,6,2-5 years,0.1,9.9,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2009-2012,7,2-5 years,0.1,13.8,3.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2011-2014,8,2-5 years,0.1,16.1,3.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9,2-5 years,0.1,17.1,3.1,-
