object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2879,706420,2020/10/05 03:59:59+00,STONEY RIVER LEGENDARY STEAKS,3900 SUMMIT PLAZA DR,40241.0,2020/10/12 03:59:59+00,7,FIELD
2880,706686,2020/10/09 03:59:59+00,LINDA JANSING,10607 HOBBS STATION ROAD,40223.0,2020/10/10 03:59:59+00,7,FIELD
2881,702273,2020/07/25 03:59:59+00,CIRCLE K #4703311,2911 BARDSTOWN RD,40205.0,2020/07/29 03:59:59+00,7,FIELD
2882,706769,2020/10/12 03:59:59+00,LOUISVILLE ZOO,1100 TREVILIAN WAY,40213.0,2020/10/13 03:59:59+00,7,FIELD
2883,708377,2020/11/05 05:00:00+00,OLIVE GARDEN #1327,1320 S HURSTBOURNE PKWY,40222.0,2020/11/05 05:00:00+00,7,FIELD
2884,707021,2020/10/14 03:59:59+00,CIRCLE K #4703234,4347 S 3RD ST,40214.0,2020/10/16 03:59:59+00,7,FIELD
2885,710016,2020/11/19 05:00:00+00,FFO HOME,6801 DIXIE HWY (FFO HOME),40219.0,2020/11/19 05:00:00+00,7,FIELD
2886,702305,2020/07/27 03:59:59+00,BROADWAY FOOD MART,4132 W BROADWAY,40212.0,2020/07/28 03:59:59+00,7,FIELD
2887,706797,2020/10/12 03:59:59+00,MCDONALD'S,2800 OUTER LOOP,40219.0,2020/10/14 03:59:59+00,7,FIELD
2888,708382,2020/11/06 05:00:00+00,SAF-TI-CO INC,2400 MILLERS LN,40216.0,2020/11/18 05:00:00+00,7,FIELD
2889,702775,2020/08/01 03:59:59+00,MOLLY MALONES ST. MATTHEWS,3900 SHELBYVILLE RD,40207.0,2020/08/01 03:59:59+00,7,FIELD
2890,707609,2020/10/27 03:59:59+00,LANHAM FLOORING,4121 BISHOP LN,40218.0,2020/10/28 03:59:59+00,7,FIELD
2891,710147,2020/11/23 05:00:00+00,LA MOVIDA NIGHCLUB,7803 3RD STREET RD,40214.0,2020/11/27 05:00:00+00,7,FIELD
2892,702314,2020/07/28 03:59:59+00,KROGER L-753,1265 GOSS AVE,40217.0,2020/07/28 03:59:59+00,7,FIELD
2893,706917,2020/10/14 03:59:59+00,LMAS,3528 NEWBURG RD,40218.0,2020/10/16 03:59:59+00,7,FIELD
2894,708573,2020/11/09 05:00:00+00,CHICAGO STEAK & LEMONADE,4501 CANE RUN RD,40216.0,2020/11/10 05:00:00+00,7,FIELD
2895,702804,2020/08/03 03:59:59+00,ST VINCENT DE PAUL THRIFT STORE,248 E MARKET ST,40202.0,2020/08/12 03:59:59+00,7,FIELD
2896,707790,2020/10/28 03:59:59+00,FAMILY DOLLAR #20928,3277 TAYLOR BLVD,40215.0,2020/10/28 03:59:59+00,7,FIELD
2897,710280,2020/11/23 05:00:00+00,KINGFISH #2,3021 UPPER RIVER RD,40207.0,2020/11/23 05:00:00+00,7,FIELD
2898,702456,2020/07/29 03:59:59+00,MASONIC HOMES MAIN KITCHEN,240 MASONIC HOME DR,40041.0,2020/07/30 03:59:59+00,7,FIELD
2899,706968,2020/10/14 03:59:59+00,FEDEX HUB,1126 BRECKENRIDGE ST,40210.0,2020/10/19 03:59:59+00,7,FIELD
2900,708641,2020/11/10 05:00:00+00,CAPTAIN D'S #3329,3937 DIXIE HWY,40217.0,2020/11/12 05:00:00+00,7,FIELD
