reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
711044,2020/12/03 05:00:00+00,SPEEDWAY #8132,2300 BROWNSBORO RD,40207.0,2020/12/03 05:00:00+00,4,SURVEY,825
711045,2020/12/03 05:00:00+00,THORNTONS #27,2007 BROWNSBORO RD,40206.0,2020/12/03 05:00:00+00,4,SURVEY,826
711046,2020/12/03 05:00:00+00,SUBWAY,291 N HUBBARDS LN,40207.0,2020/12/03 05:00:00+00,4,SURVEY,827
711048,2020/12/03 05:00:00+00,POLLO BROWNSBORO,1991 BROWNSBORO RD,40206.0,2020/12/03 05:00:00+00,4,SURVEY,828
711050,2020/12/03 05:00:00+00,PAPA JOHN'S #4,1961 BROWNSBORO RD,40206.0,2020/12/03 05:00:00+00,4,SURVEY,829
711055,2020/12/03 05:00:00+00,DRAKE'S,3939 SHELBYVILLE RD,40207.0,2020/12/03 05:00:00+00,4,SURVEY,830
711059,2020/12/03 05:00:00+00,SALSARITA'S,285 N HUBBARDS LN,40207.0,2020/12/03 05:00:00+00,4,SURVEY,831
711061,2020/12/03 05:00:00+00,MCDONALD'S,287 N HUBBARDS LN,40207.0,2020/12/03 05:00:00+00,4,SURVEY,832
711063,2020/12/03 05:00:00+00,CHINA STAR,291 N HUBBARDS LN,40207.0,2020/12/03 05:00:00+00,4,SURVEY,833
711065,2020/12/03 05:00:00+00,SUBWAY,291 N HUBBARDS LN,40207.0,2020/12/03 05:00:00+00,4,SURVEY,834
711066,2020/12/03 05:00:00+00,PAPA MURPHY'S,291 N HUBBARDS LN,40207.0,2020/12/03 05:00:00+00,4,SURVEY,835
711093,2020/12/03 05:00:00+00,J'TOWN CLEANERS,3751 RUCKRIEGEL PKWY,40299.0,2020/12/03 05:00:00+00,4,SURVEY,836
711096,2020/12/03 05:00:00+00,PLANET FITNESS,3181 S 2ND,40202.0,2020/12/03 05:00:00+00,4,SURVEY,837
711097,2020/12/03 05:00:00+00,BLUEGRASS COIN LAUNDRY,3751 RUCKRIEGEL PKWY #C,40299.0,2020/12/03 05:00:00+00,4,SURVEY,838
711099,2020/12/03 05:00:00+00,LITTLE CAESARS,3121 S 2ND ST,40208.0,2020/12/03 05:00:00+00,4,SURVEY,839
711100,2020/12/03 05:00:00+00,SAM'S GYROS,3123 S 2ND ST,40208.0,2020/12/03 05:00:00+00,4,SURVEY,840
711101,2020/12/03 05:00:00+00,AUTOZONE,3801 RUCKRIEGEL PKWY,40299.0,2020/12/03 05:00:00+00,4,SURVEY,841
711103,2020/12/03 05:00:00+00,DIZZY WHIZ #1,217 W ST. CATHERINE ST,40203.0,2020/12/03 05:00:00+00,4,SURVEY,842
711104,2020/12/03 05:00:00+00,NORTH LIME COFFEE & DONUTS,1228 S 7TH ST,40203.0,2020/12/03 05:00:00+00,4,SURVEY,843
711105,2020/12/03 05:00:00+00,BURGER BOY,1450 S BROOK ST,40208.0,2020/12/03 05:00:00+00,4,SURVEY,844
711120,2020/12/03 05:00:00+00,DAIRY QUEEN,9080 DIXIE HWY,40258.0,2020/12/03 05:00:00+00,4,SURVEY,845
711121,2020/12/03 05:00:00+00,DEENO'S,9100 DIXIE HWY STE A,40258.0,2020/12/03 05:00:00+00,4,SURVEY,846
711122,2020/12/03 05:00:00+00,TEXAS ROADHOUSE,5005 SHELBYVILLE RD,40207.0,2020/12/03 05:00:00+00,4,SURVEY,847
711123,2020/12/03 05:00:00+00,TOTAL WINE & MORE,5067 SHELBYVILLE RD,40207.0,2020/12/03 05:00:00+00,4,SURVEY,848
711124,2020/12/03 05:00:00+00,ARBY'S #773,4975 SHELBYVILLE RD,40207.0,2020/12/03 05:00:00+00,4,SURVEY,849
711198,2020/12/03 05:00:00+00,SCOOTERS TRIPLE B'S,3840 S HURSTBOURNE PKWY,40299.0,2020/12/03 05:00:00+00,4,SURVEY,850
711201,2020/12/03 05:00:00+00,MANGO'S MEXICAN GRILL,4632 HENDRIK DR,40299.0,2020/12/03 05:00:00+00,4,SURVEY,851
711203,2020/12/03 05:00:00+00,BRICKHOUSE TAVERN & TAP,871 S HURSTBOURNE PKWY,40222.0,2020/12/03 05:00:00+00,4,SURVEY,852
711204,2020/12/03 05:00:00+00,BEARNO'S #502,855 S HURSTBOURNE PKWY,40222.0,2020/12/03 05:00:00+00,4,SURVEY,853
711205,2020/12/03 05:00:00+00,CARRABBA'S ITALIAN GRILL #6801,617 S HURSTBOURNE PKWY,40223.0,2020/12/03 05:00:00+00,4,SURVEY,854
711206,2020/12/03 05:00:00+00,MIMI'S CAFE,615 S HURSTBOURNE PKWY,40222.0,2020/12/03 05:00:00+00,4,SURVEY,855
713372,2020/12/03 05:00:00+00,CHICO'S,4208 SUMMIT PLAZA DR,40202.0,2020/12/03 05:00:00+00,4,SURVEY,856
713373,2020/12/03 05:00:00+00,ANN TAYLOR,4206 SUMMIT PLAZA DR,40202.0,2020/12/03 05:00:00+00,4,SURVEY,857
713374,2020/12/03 05:00:00+00,TALBOTS,4200 SUMMIT PLAZA DR,40202.0,2020/12/03 05:00:00+00,4,SURVEY,858
713375,2020/12/03 05:00:00+00,GAP CLOTHING,4160 SUMMIT PLAZA DR,40202.0,2020/12/03 05:00:00+00,4,SURVEY,859
713376,2020/12/03 05:00:00+00,BUILD-A-BEAR WORKSHOP,4156 SUMMIT PLAZA DR,40202.0,2020/12/03 05:00:00+00,4,SURVEY,860
713377,2020/12/03 05:00:00+00,BARNES AND NOBLE,4300 SUMMIT PLAZA DR,40202.0,2020/12/03 05:00:00+00,4,SURVEY,861
711175,2020/12/04 05:00:00+00,BUILDING KIDZ SCHOOL,2415 BUSH RIDGE DR,40245.0,2020/12/04 05:00:00+00,4,SURVEY,862
711177,2020/12/04 05:00:00+00,KIDS ACADEMY IV,13905 SHELBYVILLE RD,40245.0,2020/12/04 05:00:00+00,4,SURVEY,863
711178,2020/12/04 05:00:00+00,KENTUCKY DAY ACADEMY,8040 NEW LAGRANGE RD,40222.0,2020/12/04 05:00:00+00,4,SURVEY,864
711179,2020/12/04 05:00:00+00,LYNDON LEARNING CHILDCARE,1100 LYNDON LN,40222.0,2020/12/04 05:00:00+00,4,SURVEY,865
711189,2020/12/04 05:00:00+00,BEEF O'BRADY'S,3101 S 2ND ST,40208.0,2020/12/04 05:00:00+00,4,SURVEY,866
711191,2020/12/04 05:00:00+00,DOUBLE DRAGON II,3135 S 2ND ST,40208.0,2020/12/04 05:00:00+00,4,SURVEY,867
711192,2020/12/04 05:00:00+00,TERANGA AFRICAN MARKET,3027 S 4TH ST,40208.0,2020/12/04 05:00:00+00,4,SURVEY,868
711193,2020/12/04 05:00:00+00,A CHAU GROCERY,5107 S 3RD ST,40214.0,2020/12/04 05:00:00+00,4,SURVEY,869
711195,2020/12/04 05:00:00+00,ANNIE'S CAFE,308 W WOODLAWN AVE,40215.0,2020/12/04 05:00:00+00,4,SURVEY,870
711196,2020/12/04 05:00:00+00,CARIBBEAN CAFE,317 W WOODLAWN AVE,40214.0,2020/12/04 05:00:00+00,4,SURVEY,871
711197,2020/12/04 05:00:00+00,FRIENDS JUICE BOX & BAKERY,319 W WOODLAWN AVE,40214.0,2020/12/04 05:00:00+00,4,SURVEY,872
711199,2020/12/04 05:00:00+00,SUNERGOS COFFEE,306 W WOODLAWN AVE,40214.0,2020/12/04 05:00:00+00,4,SURVEY,873
711202,2020/12/04 05:00:00+00,PENN STATION,300 W WOODLAWN AVE,40214.0,2020/12/04 05:00:00+00,4,SURVEY,874
711213,2020/12/04 05:00:00+00,BROWNIES THE SHED GRILL & BAR,9900 LINN STATION RD,40223.0,2020/12/04 05:00:00+00,4,SURVEY,875
711214,2020/12/04 05:00:00+00,CASK SOUTHERN KITCHEN & BAR,9980 LINN STATION RD,40223.0,2020/12/04 05:00:00+00,4,SURVEY,876
711215,2020/12/04 05:00:00+00,FIRST WATCH,201 S HURSTBOURNE PKWY,40222.0,2020/12/04 05:00:00+00,4,SURVEY,877
711216,2020/12/04 05:00:00+00,LONGHORN STEAKHOUSE,2535 HURSTBOURNE GEM LN,40220.0,2020/12/04 05:00:00+00,4,SURVEY,878
711217,2020/12/04 05:00:00+00,SMOKEY BONES BAR & FIRE GRILL,2525 HURSTBOURNE GEM LN,40220.0,2020/12/04 05:00:00+00,4,SURVEY,879
711218,2020/12/04 05:00:00+00,CATTLEMAN'S ROADHOUSE,2901 S HURSTBOURNE PKWY,40220.0,2020/12/04 05:00:00+00,4,SURVEY,880
711220,2020/12/04 05:00:00+00,OUTBACK STEAKHOUSE #1815,8101 BARDSTOWN RD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,881
711222,2020/12/04 05:00:00+00,SEA FRESH SEAFOOD RESTAURANT,8129 BARDSTOWN RD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,882
711223,2020/12/04 05:00:00+00,SICILIAN PIZZA & PASTA,8133 BARDSTOWN RD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,883
711224,2020/12/04 05:00:00+00,THORNTONS #151,7920 BARDSTOWN RD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,884
711225,2020/12/04 05:00:00+00,CIRCLE K #4703226,7951 BARDSTOWN RD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,885
711226,2020/12/04 05:00:00+00,FIESTA TIME AMIGOS,8123 BARDSTOWN RD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,886
711227,2020/12/04 05:00:00+00,SALA THAI RESTAURANT,8125 BARDSTOWN RD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,887
711268,2020/12/04 05:00:00+00,ANOTHER PLACE SANDWICH SHOP,119 S 7TH ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,888
711269,2020/12/04 05:00:00+00,MUSSEL & BURGER BAR II,113 S 7TH ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,889
711270,2020/12/04 05:00:00+00,PROOF ON MAIN BAR,700 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,890
711271,2020/12/04 05:00:00+00,MORTON'S STEAKHOUSE,626 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,891
711272,2020/12/04 05:00:00+00,JEFF RUBY'S LOUISVILLE,325 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,892
711273,2020/12/04 05:00:00+00,ZOMBIE TACO MOXY BAR,101 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,893
711274,2020/12/04 05:00:00+00,ALOFT DOWNTOWN,102 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,894
711275,2020/12/04 05:00:00+00,CRUSHED ICE EVENTS,226 E WASHINGTON ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,895
711276,2020/12/04 05:00:00+00,CELTIC PIG,217 E MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,896
711277,2020/12/04 05:00:00+00,CELTIC PIG,217 E MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,897
711278,2020/12/04 05:00:00+00,MERLE'S WHISKEY KITCHEN,122 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,898
711279,2020/12/04 05:00:00+00,EXPO,114 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,899
711281,2020/12/04 05:00:00+00,PATRICK O'SHEAS,123 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,900
711282,2020/12/04 05:00:00+00,DOC CROW'S SOUTHERN SMOKEHOUSE,127 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,901
710747,2020/12/01 05:00:00+00,FRANCO'S RESTAURANT,3300 DIXIE HWY,40216.0,2020/12/01 05:00:00+00,4,SURVEY,902
