object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1877.0,712395.0,2020/12/14 05:00:00+00,FIVE STAR FOOD MART,10314 WATTERSON TRAIL,40299.0,2020/12/14 05:00:00+00,4,SURVEY
1878.0,712875.0,2020/12/17 05:00:00+00,GLEN OAKS COUNTRY CLUB,10601 WORTHINGTON LN,40059.0,2020/12/17 05:00:00+00,4,SURVEY
1879.0,712204.0,2020/12/11 05:00:00+00,SUBWAY #21369,9090 DIXIE HWY,40258.0,2020/12/11 05:00:00+00,4,SURVEY
1880.0,712399.0,2020/12/14 05:00:00+00,WENDYS,3610 BUECHEL BYPASS,40218.0,2020/12/14 05:00:00+00,4,SURVEY
1881.0,712876.0,2020/12/17 05:00:00+00,STANDARD CLUB GOLF SHOP,8208 STANDARD CLUB LN,40241.0,2020/12/17 05:00:00+00,4,SURVEY
1882.0,712233.0,2020/12/11 05:00:00+00,FAMILY DOLLAR #21351,790 EASTERN PKWY,40217.0,2020/12/11 05:00:00+00,4,SURVEY
1883.0,712400.0,2020/12/14 05:00:00+00,WALGREENS #4194,2021 HIKES LN,40218.0,2020/12/14 05:00:00+00,4,SURVEY
1884.0,712877.0,2020/12/17 05:00:00+00,HUNTING CREEK COUNTRY CLUB,6807 FOXCROFT RD,40059.0,2020/12/17 05:00:00+00,4,SURVEY
1885.0,712288.0,2020/12/11 05:00:00+00,FRAZIER HISTORY MUSEUM,829 W MAIN ST,40202.0,2020/12/11 05:00:00+00,4,SURVEY
1886.0,712401.0,2020/12/14 05:00:00+00,SCHLOTZSKY'S,10531 FISCHER PARK DR,40241.0,2020/12/14 05:00:00+00,4,SURVEY
1887.0,712897.0,2020/12/17 05:00:00+00,CRACKER BARREL #522,10150 BROOKRIDGE VILLAGE BLVD,40291.0,2020/12/17 05:00:00+00,4,SURVEY
1888.0,712289.0,2020/12/11 05:00:00+00,KMAC CAFE,715 W MAIN ST,40202.0,2020/12/11 05:00:00+00,4,SURVEY
1889.0,712402.0,2020/12/14 05:00:00+00,TACO BELL,10541 FISCHER PARK DR,40241.0,2020/12/14 05:00:00+00,4,SURVEY
1890.0,712898.0,2020/12/17 05:00:00+00,CIRCLE K #4703226,7951 BARDSTOWN RD,40291.0,2020/12/17 05:00:00+00,4,SURVEY
1891.0,712291.0,2020/12/11 05:00:00+00,SWEET PEACHES,1800 W MUHAMMAD ALI BLVD,40203.0,2020/12/11 05:00:00+00,4,SURVEY
