object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
4707.0,703883.0,2020/08/17 03:59:59+00,MCDONALD'S,207 W BROADWAY,40202.0,2020/08/20 03:59:59+00,7,FIELD
4708.0,703885.0,2020/08/17 03:59:59+00,BRASSERIE PROVENCE,150 N HURSTBOURNE PKWY,40222.0,2020/08/19 03:59:59+00,7,FIELD
4709.0,704014.0,2020/08/19 03:59:59+00,NORTON'S PAVILION,315 E BROADWAY,40202.0,2020/08/21 03:59:59+00,7,FIELD
4710.0,704458.0,2020/08/29 03:59:59+00,HARRODS CREEK TAVERN,6313 RIVER RD,40059.0,2020/09/03 03:59:59+00,7,FIELD
4711.0,704902.0,2020/09/08 03:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/09/16 03:59:59+00,7,FIELD
4712.0,705108.0,2020/09/10 03:59:59+00,CIRCLE K #4700076,4100 DIXIE HWY,40216.0,2020/09/14 03:59:59+00,7,FIELD
4713.0,705263.0,2020/09/14 03:59:59+00,SUBWAY,1229 GOSS AVE,40217.0,2020/09/15 03:59:59+00,7,FIELD
4714.0,705385.0,2020/09/16 03:59:59+00,DOLLAR TREE #5138,3600 SPRINGHURST BLVD,40241.0,2020/10/02 03:59:59+00,7,FIELD
4715.0,705399.0,2020/09/16 03:59:59+00,GERSTLE'S,3801 FRANKFORT AVE,40207.0,2020/10/06 03:59:59+00,7,FIELD
4716.0,705928.0,2020/09/28 03:59:59+00,DENNY'S,434 EASTERN PKWY,40217.0,2020/09/29 03:59:59+00,7,FIELD
4717.0,706232.0,2020/09/30 03:59:59+00,SMOOTHIE KING #716,3925 SHELBYVILLE RD,40207.0,2020/10/01 03:59:59+00,7,FIELD
4718.0,706239.0,2020/10/02 03:59:59+00,CINTAS,3916 OAKLAWN DR,40219.0,2020/10/03 03:59:59+00,7,FIELD
4719.0,706241.0,2020/10/02 03:59:59+00,SUMMIT HEIGHTS PARENTS OUT PROGRAM,7400 OUTER LOOP,40228.0,2020/10/12 03:59:59+00,7,FIELD
4720.0,704606.0,2020/09/01 03:59:59+00,TELEPERFORMANCE USA,9721 ORMSBY STATION RD,40223.0,2020/09/17 03:59:59+00,7,FIELD
4721.0,704623.0,2020/09/01 03:59:59+00,PENN STATION,2407A BROWNSBORO RD,40207.0,2020/09/02 03:59:59+00,7,FIELD
4722.0,704954.0,2020/09/08 03:59:59+00,KINE HAIR BRAIDING SALON,2207 HEATHER LANE,40218.0,2020/09/11 03:59:59+00,7,FIELD
4723.0,705157.0,2020/09/11 03:59:59+00,DELTA GYM,2500 PORTLAND AVE,40212.0,2020/10/22 03:59:59+00,7,FIELD
4724.0,705384.0,2020/09/16 03:59:59+00,AYA FOOD MART,438 N 28TH ST,40212.0,2020/09/17 03:59:59+00,7,FIELD
