reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
711316.0,2020/12/07 05:00:00+00,POPEYE'S,7528 DIXIE HWY,40258.0,2020/12/04 05:00:00+00,4,SURVEY,1569.0
711317.0,2020/12/07 05:00:00+00,MAPCO MART,10642 DIXIE HWY,40272.0,2020/12/04 05:00:00+00,4,SURVEY,1570.0
711478.0,2020/12/07 05:00:00+00,ANGEL HOUSE CHILD DEVELOPMENT CENTER III,3046 HUNSINGER LN,40220.0,2020/12/07 05:00:00+00,4,SURVEY,1571.0
711479.0,2020/12/07 05:00:00+00,MCDONALD'S,2961 BRECKENRIDGE LN,40220.0,2020/12/07 05:00:00+00,4,SURVEY,1572.0
711480.0,2020/12/07 05:00:00+00,ARBY'S,2956 BRECKENRIDGE LN,40220.0,2020/12/07 05:00:00+00,4,SURVEY,1573.0
711481.0,2020/12/07 05:00:00+00,KFC Y300-084,2945 BRECKENRIDGE LN,40220.0,2020/12/07 05:00:00+00,4,SURVEY,1574.0
711483.0,2020/12/07 05:00:00+00,BRICKHOUSE TAVERN & TAP,871 S HURSTBOURNE PKWY,40222.0,2020/12/07 05:00:00+00,4,SURVEY,1575.0
711484.0,2020/12/07 05:00:00+00,MUSSEL & BURGER BAR,9200 TAYLORSVILLE RD,40299.0,2020/12/07 05:00:00+00,4,SURVEY,1576.0
711485.0,2020/12/07 05:00:00+00,TACO LUCHADOR,9204 TAYLORSVILLE RD,40299.0,2020/12/07 05:00:00+00,4,SURVEY,1577.0
711486.0,2020/12/07 05:00:00+00,MAPLE INN,9416 TAYLORSVILLE RD,40299.0,2020/12/07 05:00:00+00,4,SURVEY,1578.0
711487.0,2020/12/07 05:00:00+00,I LOVE TACOS,9909 TAYORSVILLE RD,40299.0,2020/12/07 05:00:00+00,4,SURVEY,1579.0
711488.0,2020/12/07 05:00:00+00,EL NOPAL,10500 WATTERSON TRAIL,40299.0,2020/12/07 05:00:00+00,4,SURVEY,1580.0
711489.0,2020/12/07 05:00:00+00,CHICAGO STEAK & LEMONADE,9015 GALENE DR,40299.0,2020/12/07 05:00:00+00,4,SURVEY,1581.0
711504.0,2020/12/07 05:00:00+00,PENN STATION,6525 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1582.0
711505.0,2020/12/07 05:00:00+00,JETS PIZZA #007,6523 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1583.0
711506.0,2020/12/07 05:00:00+00,EDIBLE ARRANGEMENTS #1197,6515 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1584.0
711507.0,2020/12/07 05:00:00+00,GRAETER'S ICE CREAM,6509 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1585.0
711508.0,2020/12/07 05:00:00+00,MARK'S FEED STORE #5,6501 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1586.0
711509.0,2020/12/07 05:00:00+00,CHONG GARDEN,6445 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1587.0
711510.0,2020/12/07 05:00:00+00,ASIANA SUSHI,6435 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1588.0
711511.0,2020/12/07 05:00:00+00,HONEY BAKED HAM,6423 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1589.0
711512.0,2020/12/07 05:00:00+00,QDOBA #2837,6403 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1590.0
711513.0,2020/12/07 05:00:00+00,CIRCLE K #4703317,6325 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1591.0
711514.0,2020/12/07 05:00:00+00,SUGAR AND SPICE,5613 BARDSTOWN RD,40219.0,2020/12/07 05:00:00+00,4,SURVEY,1592.0
711515.0,2020/12/07 05:00:00+00,SUGAR AND SPICE,5613 BARDSTOWN RD,40219.0,2020/12/07 05:00:00+00,4,SURVEY,1593.0
711515.0,2020/12/07 05:00:00+00,SUGAR AND SPICE,5613 BARDSTOWN RD,40219.0,2020/12/07 05:00:00+00,4,SURVEY,1594.0
711515.0,2020/12/07 05:00:00+00,SUGAR AND SPICE,5613 BARDSTOWN RD,40219.0,2020/12/07 05:00:00+00,4,SURVEY,1595.0
711516.0,2020/12/07 05:00:00+00,MAPCO MART,5301 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1596.0
711517.0,2020/12/07 05:00:00+00,WENDYS,5240 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1597.0
711517.0,2020/12/07 05:00:00+00,WENDYS,5240 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1598.0
711518.0,2020/12/07 05:00:00+00,CAPTAIN D'S #3615,5232 BARDSTOWN RD,40219.0,2020/12/07 05:00:00+00,4,SURVEY,1599.0
711519.0,2020/12/07 05:00:00+00,BIG LOTS,5252 BARDSTOWN RD,40291.0,2020/12/07 05:00:00+00,4,SURVEY,1600.0
712761.0,2020/12/15 05:00:00+00,LITTLE CAESARS PIZZA,9593 TAYLORSVILLE RD,40299.0,2020/12/15 05:00:00+00,4,SURVEY,1601.0
712753.0,2020/12/16 05:00:00+00,PIZZA HUT #036956,9160 TAYLORSVILLE RD,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1602.0
712764.0,2020/12/16 05:00:00+00,CIRCLE K #4703240,4600 WATTBOURNE LN,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1603.0
712765.0,2020/12/16 05:00:00+00,MEIJER #160,4500 S HURSTBOURNE PKWY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1604.0
712766.0,2020/12/16 05:00:00+00,ALL ABOUT KIDS CARTWHEEL CAFE,2531 BLANKENBAKER PKWY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1605.0
712767.0,2020/12/16 05:00:00+00,FRIENDLY MART BP,3741 S HURSTBOURNE PKWY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1606.0
712768.0,2020/12/16 05:00:00+00,SONIC DRIVE-IN,8600 AMBROSSE LN,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1607.0
712772.0,2020/12/16 05:00:00+00,FAMILY DOLLAR #32367,701 VALLEY COLLEGE DR,40272.0,2020/12/16 05:00:00+00,4,SURVEY,1608.0
712774.0,2020/12/16 05:00:00+00,OLLIE'S BARGAIN OUTLET,9070 DIXIE HWY,40258.0,2020/12/16 05:00:00+00,4,SURVEY,1609.0
712775.0,2020/12/16 05:00:00+00,CIRCLE K #4700111,9200 DIXIE HWY,40272.0,2020/12/16 05:00:00+00,4,SURVEY,1610.0
712776.0,2020/12/16 05:00:00+00,DOLLAR TREE #5046,10309 DIXIE HWY,40272.0,2020/12/16 05:00:00+00,4,SURVEY,1611.0
712779.0,2020/12/16 05:00:00+00,SUSHI MASTER,9415 NORTON COMMONS BLVD,40059.0,2020/12/16 05:00:00+00,4,SURVEY,1612.0
712780.0,2020/12/16 05:00:00+00,KAREM'S GRILL & PUB,9424 NORTON COMMONS BLVD,40059.0,2020/12/16 05:00:00+00,4,SURVEY,1613.0
712786.0,2020/12/16 05:00:00+00,SHOGUN JAPANESE RESTAURANT,4110 HAMPTON LAKE WAY,40241.0,2020/12/16 05:00:00+00,4,SURVEY,1614.0
712788.0,2020/12/16 05:00:00+00,TUMBLEWEED #521,3550 SPRINGHURST COMMONS DR,40541.0,2020/12/16 05:00:00+00,4,SURVEY,1615.0
712539.0,2020/12/14 05:00:00+00,PLACE FOR KIDS,7100 PRESTON HWY,40219.0,2020/12/14 05:00:00+00,4,SURVEY,1616.0
712790.0,2020/12/16 05:00:00+00,HOMEMADE ICE CREAM & PIE KITCHEN,3521 SPRINGHURST COMMONS DR,40245.0,2020/12/16 05:00:00+00,4,SURVEY,1617.0
712792.0,2020/12/16 05:00:00+00,ADRIANNE'S CAKES & CAFE,9402 NATIONAL TURNPIKE,40118.0,2020/12/16 05:00:00+00,4,SURVEY,1618.0
712793.0,2020/12/16 05:00:00+00,PAPA JOHN'S #36,3511 SPRINGHURST COMMONS DR,40241.0,2020/12/16 05:00:00+00,4,SURVEY,1619.0
712794.0,2020/12/16 05:00:00+00,CIRCLE K #4703242,8615 NATIONAL TURNPIKE,40214.0,2020/12/16 05:00:00+00,4,SURVEY,1620.0
712795.0,2020/12/16 05:00:00+00,PIZZA HUT #036959,3610 SPRINGHURST BLVD,40241.0,2020/12/16 05:00:00+00,4,SURVEY,1621.0
712798.0,2020/12/16 05:00:00+00,PANERA BREAD #904,10451 CHAMPION FARMS DR,40241.0,2020/12/16 05:00:00+00,4,SURVEY,1622.0
712799.0,2020/12/16 05:00:00+00,BUFFALO WILD WINGS,10206 WESTPORT RD,40241.0,2020/12/16 05:00:00+00,4,SURVEY,1623.0
712800.0,2020/12/16 05:00:00+00,FAIRDALE VALERO,1101 FAIRDALE RD,40118.0,2020/12/16 05:00:00+00,4,SURVEY,1624.0
712802.0,2020/12/16 05:00:00+00,WALMART #526,3706 DIANN MARIE RD,40241.0,2020/12/16 05:00:00+00,4,SURVEY,1625.0
712809.0,2020/12/16 05:00:00+00,HURSTBOURNE ANIMAL HOSPITAL,4601 WATTBOURNE LANE,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1626.0
712810.0,2020/12/16 05:00:00+00,QUALITY INN & SUITES,311 E GAULBERT AVE,40208.0,2020/12/16 05:00:00+00,4,SURVEY,1627.0
712812.0,2020/12/16 05:00:00+00,ALL ABOUT KIDS,2531 BLANKENBAKER PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1628.0
712813.0,2020/12/16 05:00:00+00,CLARION INN,1620 ARTHUR ST,40208.0,2020/12/16 05:00:00+00,4,SURVEY,1629.0
712814.0,2020/12/16 05:00:00+00,NU YALE CLEANERS,3501 A S HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1630.0
712815.0,2020/12/16 05:00:00+00,PAMPERED NAILS,3501 B S. HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1631.0
712816.0,2020/12/16 05:00:00+00,INFINITE ELECTRIC TATTOO,3503 S HURSTBOURNE PKWY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1632.0
712817.0,2020/12/16 05:00:00+00,ALL PHASES SALON,3505 S. HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1633.0
712824.0,2020/12/16 05:00:00+00,KENTUCKY FARM BUREAU,3507 S. HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1634.0
712825.0,2020/12/16 05:00:00+00,KORT PHYSICAL THERAPY,3509 S HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1635.0
712827.0,2020/12/16 05:00:00+00,JOE'S OLDER THAN DIRT,8131 NEW LAGRANGE RD,40222.0,2020/12/18 05:00:00+00,4,SURVEY,1636.0
712828.0,2020/12/16 05:00:00+00,SPEEDWAY #9451,2400 TERRA CROSSING BLVD,40245.0,2020/12/16 05:00:00+00,4,SURVEY,1637.0
