object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
4124,700595,2020/07/03 03:59:59+00,DRAKE'S BHG LOUISVILLE #2,3921 SUMMIT PLAZA DR,40241.0,2020/07/03 03:59:59+00,7,FIELD
4125,700605,2020/07/06 03:59:59+00,STONEY RIVER LEGENDARY STEAKS,3900 SUMMIT PLAZA DR,40241.0,2020/07/07 03:59:59+00,7,FIELD
4126,700614,2020/07/06 03:59:59+00,KROGER L-753,1265 GOSS AVE,40217.0,2020/07/07 03:59:59+00,7,FIELD
4127,700648,2020/07/07 03:59:59+00,LOUISVILLE ZOO,1100 TREVILIAN WAY,40213.0,2020/07/13 03:59:59+00,7,FIELD
4128,700757,2020/07/08 03:59:59+00,TACO CITY LOUISVILLE,1283 BARDSTOWN RD,40204.0,2020/07/09 03:59:59+00,7,FIELD
4129,700812,2020/07/09 03:59:59+00,UPS HUB,911 GRADE LN,40213.0,2020/10/27 03:59:59+00,7,FIELD
4130,709281,2020/11/17 05:00:00+00,CIRCLE K #4703311,2911 BARDSTOWN RD,40205.0,2020/11/19 05:00:00+00,7,FIELD
4131,709706,2020/11/20 05:00:00+00,ACE HARDWARE,2616 W MARKET ST,40212.0,2020/11/20 05:00:00+00,7,FIELD
4132,709919,2020/11/23 05:00:00+00,ACCUCODE INC,7301 INTERMODEL DR,40258.0,2020/11/23 05:00:00+00,7,FIELD
4133,710014,2020/11/19 05:00:00+00,HOBBY LOBBY,6801 DIXIE HWY,40219.0,2020/11/19 05:00:00+00,7,FIELD
4134,710114,2020/11/19 05:00:00+00,GALAXIE,732 E MARKET ST,40202.0,2020/11/19 05:00:00+00,7,FIELD
4135,710381,2020/11/25 05:00:00+00,MCDONALD'S,207 W BROADWAY,40202.0,2020/11/30 05:00:00+00,7,FIELD
4136,710573,2020/11/30 05:00:00+00,THE PALM ROOM LOUNGE,1821 W JEFFERSON ST,40203.0,2020/11/30 05:00:00+00,7,FIELD
4137,710585,2020/11/30 05:00:00+00,PRIMPOLOGY,4931 WEST PAGES LN,40258.0,2020/12/01 05:00:00+00,7,FIELD
