crimeid,monthvalue,reportedby,outcometype,latitude,fallswithin,locationvalue
80f4c06e92c213b3e34aa64a8992de368fef782b238139210ea1604dcb13fc13,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
7862d9613ff9fa36432324eebd60797e429ba8ed7e47186ec61d9a827e5dcebd,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
42f79a0840bb970e4078a55e0aecc0d8d5e75c8cc13a8874df16d944a7ceb312,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
7ddd3410ff271fa06fa82a302512bb867bc3b99312510bda44f261bcadbd31b2,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
8e3d16ec24368610e74438221bcefe9a0acac61a23753159d0c46bcd5b1508ea,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
026ca536e9a4f2864db7fa7bd480fa9e7b51ea3f9b69e824d97c72603902984c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
0a916ffc0207a139b5b814de594184a2ab31b08719ca7c491c2b57545fd2cea9,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Gloucestershire Constabulary,No location
0a916ffc0207a139b5b814de594184a2ab31b08719ca7c491c2b57545fd2cea9,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Gloucestershire Constabulary,No location
d016cf689478d4fc131cac23c8a8697aa4a53600e40a8de8bbe26389b674153d,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
dc461a165b82e49bcf8459e3bbf888ad4c41fb8a855fbab38047c7053e1e8382,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
a3aa4af6f36ca3797b0d570f53b3c62ffd27f8dd89d627d706593cd97ebe61cb,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
a3f85e670597f3cad7afd4d6c935b88cfa8bcb00f00ead38f8d13dab00378ebb,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Gloucestershire Constabulary,No location
fb80601e2eb647d46c4ad381a626e4082a44a4c517a982f3b495bba4241354c0,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
94010bc85282f70a570833edd86dd673cf43b8797db2b17e90910c5401221726,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
48beb8f9e54b4d91af2fb28eda38cf10c12af16fd7a64de66b4b4bcf773bf902,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
baf3c1222c6796cabcfc6c4aac91cf8f3bd3b2acc50e18d5be11303f1a7f1e4f,2023-05,Gloucestershire Constabulary,Offender given a caution,51.864813,Gloucestershire Constabulary,No location
3e43b867accb9cf90f28e5e0dd7a2b33400319ccf55715ddaa33227f54d75733,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
f32c1d12b7c8334f06b3b35606347e9dbb3e1f7a688da0e3fff78857cc4e8693,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
d8b9b1f0d82f151a3c39d0bf90df5436ae27265546bdc226df1c3886835f9086,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a5dfdde0bab495e3f49c4b0d83c5fdf741788f5247f2565fdec55f8d2ff5c9b9,2023-05,Gloucestershire Constabulary,Further action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
42b51dd0c0940dc85dc254eb89e1f8d0d50db327595f295f99d718d86f5bd7c1,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
24d8d181604e2e83097e8d01995176555c1e3cc1f614f3c6a02d9d95ec455294,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
e25f24ec107736589d5494387eebfb3f9f0a8656708678b5003a256f9c47f6de,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
700e2e1cb4ffe06bf8a85ea2f7829c412e4b8aac36ffaff4a28f2086c585872f,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
