reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
709170.0,2020/11/12 05:00:00+00,WALMART #3294,7101 CEDAR SPRINGS BLVD,40291.0,2020/11/12 05:00:00+00,4,SURVEY,250.0
709270.0,2020/11/05 05:00:00+00,LOGAN'S ROADHOUSE,5229 DIXIE HWY,40216.0,2020/11/05 05:00:00+00,4,SURVEY,251.0
709890.0,2020/11/13 05:00:00+00,DITTOS,1114 BARDSTOWN RD,40205.0,2020/11/13 05:00:00+00,4,SURVEY,252.0
709891.0,2020/11/13 05:00:00+00,GOGI 1055,1055 BARDSTOWN RD,40204.0,2020/11/13 05:00:00+00,4,SURVEY,253.0
709892.0,2020/11/13 05:00:00+00,LA QUE,1019 BARDSTOWN RD,40202.0,2020/11/13 05:00:00+00,4,SURVEY,254.0
709894.0,2020/11/13 05:00:00+00,DIORIO'S PIZZA & PUB,919 BAXTER AVE,40204.0,2020/11/13 05:00:00+00,4,SURVEY,255.0
709895.0,2020/11/13 05:00:00+00,TACO BELL,1069 BARDSTOWN RD,40204.0,2020/11/13 05:00:00+00,4,SURVEY,256.0
709898.0,2020/11/13 05:00:00+00,MCDONALD'S,1245 BARDSTOWN RD,40204.0,2020/11/13 05:00:00+00,4,SURVEY,257.0
709901.0,2020/11/13 05:00:00+00,ROC RESTAURANT,1327 BARDSTOWN RD,40204.0,2020/11/13 05:00:00+00,4,SURVEY,258.0
709907.0,2020/11/13 05:00:00+00,MOE'S SOUTHWEST GRILL,9310 CEDAR CENTER WAY,40291.0,2020/11/13 05:00:00+00,4,SURVEY,259.0
709911.0,2020/11/13 05:00:00+00,SAKE BLUE JAPANESE BISTRO,9326 CEDAR CENTER WAY,40291.0,2020/11/13 05:00:00+00,4,SURVEY,260.0
709918.0,2020/11/13 05:00:00+00,WAFFLE HOUSE #1444,7715 BARDSTOWN RD,40291.0,2020/11/13 05:00:00+00,4,SURVEY,261.0
710015.0,2020/11/13 05:00:00+00,MIRAGE MEDITERRANEAN CUISINE,4100 PRESTON HWY,40213.0,2020/11/13 05:00:00+00,4,SURVEY,262.0
710020.0,2020/11/13 05:00:00+00,SAVE-A-LOT,4148 TAYLOR BLVD,40215.0,2020/11/13 05:00:00+00,4,SURVEY,263.0
709447.0,2020/11/14 05:00:00+00,QDOBA #2753,1831 BLANKENBAKER PKWY,40299.0,2020/11/14 05:00:00+00,4,SURVEY,264.0
709448.0,2020/11/14 05:00:00+00,DAIRY QUEEN,9656 BLUEGRASS PKWY,40299.0,2020/11/14 05:00:00+00,4,SURVEY,265.0
709449.0,2020/11/14 05:00:00+00,DOLLAR TREE,1850 S HURSTBOURNE LN,40220.0,2020/11/14 05:00:00+00,4,SURVEY,266.0
709450.0,2020/11/14 05:00:00+00,SHOP TODAY 1 SMOKE SHOP,1850 HURSTBOURNE,40202.0,2020/11/14 05:00:00+00,4,SURVEY,267.0
709451.0,2020/11/14 05:00:00+00,TUXEDO AVENUE (AT USA BRIDAL),1850 S. HURSTBOURNE,40202.0,2020/11/14 05:00:00+00,4,SURVEY,268.0
709452.0,2020/11/14 05:00:00+00,SHOE CARNIVAL,1850 S. HURSTBOURNE,40202.0,2020/11/14 05:00:00+00,4,SURVEY,269.0
709453.0,2020/11/14 05:00:00+00,PATEL BROTHERS INTERNATIONAL GROCERY,1830 S HURSTBOURNE PKWY,40220.0,2020/11/14 05:00:00+00,4,SURVEY,270.0
709545.0,2020/11/15 05:00:00+00,BANH MI 4 YOU,1812 W MUHAMMAD ALI BLVD,40203.0,2020/11/15 05:00:00+00,4,SURVEY,271.0
709226.0,2020/11/16 05:00:00+00,LOWES,501 S. HURSTBOURNE PKWY,40202.0,2020/11/16 05:00:00+00,4,SURVEY,272.0
709227.0,2020/11/16 05:00:00+00,BARNES & NOBLE BOOKSELLERS,801 S HURSTBOURNE PKWY,40222.0,2020/11/16 05:00:00+00,4,SURVEY,273.0
709231.0,2020/11/16 05:00:00+00,BOB EVANS #51,9797 BLAIRWOOD RD,40222.0,2020/11/16 05:00:00+00,4,SURVEY,274.0
709234.0,2020/11/16 05:00:00+00,MALIBU JACK'S,1915 S. HURSTBOURNE PKWY,40202.0,2020/11/16 05:00:00+00,4,SURVEY,275.0
709287.0,2020/11/16 05:00:00+00,PLATINUM FOOD MART,1025 W BROADWAY,40203.0,2020/11/16 05:00:00+00,4,SURVEY,276.0
709300.0,2020/11/16 05:00:00+00,EINSTEIN BROTHERS BAGELS (BINGHAM),2100 S FLOYD ST,40208.0,2020/11/16 05:00:00+00,4,SURVEY,277.0
709309.0,2020/11/16 05:00:00+00,STARBUCKS ESKSTROM,2100 S FLOYD ST,40208.0,2020/11/16 05:00:00+00,4,SURVEY,278.0
709312.0,2020/11/16 05:00:00+00,SRC,2100 S FLOYD ST,40208.0,2020/11/16 05:00:00+00,4,SURVEY,279.0
709319.0,2020/11/16 05:00:00+00,MCALISTER'S (MILLER IT),2100 S FLOYD ST,40208.0,2020/11/16 05:00:00+00,4,SURVEY,280.0
709544.0,2020/11/16 05:00:00+00,SUBWAY (DAVIDSON),2100 S FLOYD ST,40208.0,2020/11/16 05:00:00+00,4,SURVEY,281.0
709546.0,2020/11/16 05:00:00+00,THE LIMBO,411 W CHESTNUT ST,40202.0,2020/11/16 05:00:00+00,4,SURVEY,282.0
709647.0,2020/11/16 05:00:00+00,META,425 W CHESTNUT ST,40202.0,2020/11/16 05:00:00+00,4,SURVEY,283.0
709660.0,2020/11/16 05:00:00+00,8 UP,350 W CHESTNUT ST,40202.0,2020/11/16 05:00:00+00,4,SURVEY,284.0
709825.0,2020/11/16 05:00:00+00,BLOCK GOURMET DELI,14041 SHELBYVILLE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,285.0
709826.0,2020/11/16 05:00:00+00,PAPA JOHN'S #11,14041 SHELBYVILLE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,286.0
709827.0,2020/11/16 05:00:00+00,THORNTONS #26,14101 SHELBYVILLE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,287.0
709828.0,2020/11/16 05:00:00+00,IGA CROSSROADS MARKET 782,14010 SHELBYVILLE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,288.0
709829.0,2020/11/16 05:00:00+00,SUBWAY #782,14010 SHELBYVILLE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,289.0
710125.0,2020/11/16 05:00:00+00,KROGER L-739,12450 LAGRANGE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,290.0
710126.0,2020/11/16 05:00:00+00,DOUBLE DRAGON II,12480 LAGRANGE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,291.0
710127.0,2020/11/16 05:00:00+00,EL NOPAL,12418 LAGRANGE RD,40245.0,2020/11/16 05:00:00+00,4,SURVEY,292.0
710128.0,2020/11/16 05:00:00+00,MCDONALD'S #22895,12414 LAGRANGE RD,40241.0,2020/11/16 05:00:00+00,4,SURVEY,293.0
710129.0,2020/11/16 05:00:00+00,MCALISTER'S,4002 TOWNE CENTER DR,40241.0,2020/11/16 05:00:00+00,4,SURVEY,294.0
710681.0,2020/11/16 05:00:00+00,WALMART #526,3706 DIANN MARIE RD,40241.0,2020/11/16 05:00:00+00,4,SURVEY,295.0
710984.0,2020/11/16 05:00:00+00,HEINE BROTHERS COFFEE,3060 BARDSTOWN RD,40205.0,2020/11/16 05:00:00+00,4,SURVEY,296.0
710985.0,2020/11/16 05:00:00+00,STAPLES,3058 BARDSTOWN RD,40205.0,2020/11/16 05:00:00+00,4,SURVEY,297.0
710986.0,2020/11/16 05:00:00+00,PARTY MART,3050 BARDSTOWN RD,40205.0,2020/11/16 05:00:00+00,4,SURVEY,298.0
710987.0,2020/11/16 05:00:00+00,RAINBOW BLOSSOM,3046 BARDSTOWN RD,40205.0,2020/11/16 05:00:00+00,4,SURVEY,299.0
710989.0,2020/11/16 05:00:00+00,THE UPS STORE,3044 BARDSTOWN RD,40205.0,2020/11/16 05:00:00+00,4,SURVEY,300.0
710991.0,2020/11/16 05:00:00+00,HALMARK,3040 BARDSTOWN RD,40205.0,2020/11/16 05:00:00+00,4,SURVEY,301.0
