agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
42000.0,LANGSTON UNIVERSITY,486,Stadium Revenue Bond Fund,"TITLE 70, SECTION 4002.1",2012,3,$0.00
42000.0,LANGSTON UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
42000.0,LANGSTON UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$216839.13
42000.0,LANGSTON UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$311882.67
42100.0,OKLAHOMA STATE SENATE,200,State Senate Revolving Fund,"TITLE 62, SECTION 159.1",2012,3,$202826.15
42200.0,OK. HOUSE OF REPRESENTATIVES,200,House Of Rep Revolving Fund,"TITLE 62, SECTION 159.2",2012,3,$669475.14
42300.0,LEGISLATIVE SERVICE BUREAU,200,Revolving Fund,"TITLE 62, SEC. 34.9, 34.49",2012,3,$662611.50
42300.0,LEGISLATIVE SERVICE BUREAU,205,Criminal Code Revolving Fund,"TITLE 62, SECTION 34.9",2012,3,$0.00
42300.0,LEGISLATIVE SERVICE BUREAU,210,Ok Crim Justice Res Ctr Rev Fd,"TITLE 22, SEC. 1517",2012,3,$0.00
42300.0,LEGISLATIVE SERVICE BUREAU,405,OCJRC - VAWA Fed Fund,"TITLE 22, SEC. 1517",2012,3,$0.00
42300.0,LEGISLATIVE SERVICE BUREAU,406,OCJRC - SAC Fed Fund,,2012,3,$0.00
42300.0,LEGISLATIVE SERVICE BUREAU,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2012,3,$0.00
43000.0,DEPARTMENT OF LIBRARIES,200,Revolving Fund,"TITLE 65, SEC. 3-107",2012,3,$1321271.15
43000.0,DEPARTMENT OF LIBRARIES,400,Federal Library Funds,"TITLE 65, SEC. 3-101 & 3-107",2012,3,$54253.27
43000.0,DEPARTMENT OF LIBRARIES,405,Federal Pass Through Funds,"TITLE 65, SEC. 3-101 & 3-107",2012,3,$22501.25
43000.0,DEPARTMENT OF LIBRARIES,410,Fed Grt Funds Special Projects,"TITLE 65, SEC. 3-101 & 3-107",2012,3,$7017.10
