object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2063,708514,2020/11/09 05:00:00+00,OLD SCHOOL NY PIZZA,12907 FACTORY LN,40245.0,2020/11/11 05:00:00+00,7,FIELD
2064,701991,2020/07/23 03:59:59+00,TERRY CONVENIENT STORE,6600 TERRY RD,40258.0,2020/07/27 03:59:59+00,7,FIELD
2065,702693,2020/07/31 03:59:59+00,SPEEDWAY #9714,4340 CANE RUN RD,40216.0,2020/08/04 03:59:59+00,7,FIELD
2066,703877,2020/08/18 03:59:59+00,MASSEY BOOKKEEPING,7562 DIXIE HWY,40258.0,2020/09/01 03:59:59+00,7,FIELD
2067,703032,2020/08/03 03:59:59+00,MAGIC TOUCH SALON,913 NEW LAGRANGE RD,40242.0,2020/08/14 03:59:59+00,7,FIELD
2068,702136,2020/07/24 03:59:59+00,KROGER L-729,3616 BUECHEL BYPASS,40218.0,2020/07/27 03:59:59+00,7,FIELD
2069,708675,2020/11/11 05:00:00+00,WENDYS,3422 TAYLOR BLVD,40215.0,2020/11/12 05:00:00+00,7,FIELD
2070,703110,2020/08/05 03:59:59+00,KROGER L-360,6900 BARDSTOWN RD,40291.0,2020/08/04 03:59:59+00,7,FIELD
2071,703878,2020/08/18 03:59:59+00,SIGNATURE STUDIO,4121 SHELBYVILLE RD C,40207.0,2020/08/31 03:59:59+00,7,FIELD
2072,702182,2020/07/25 03:59:59+00,BROWNIES THE SHED GRILL & BAR,9900 LINN STATION RD,40223.0,2020/07/25 03:59:59+00,7,FIELD
2073,702770,2020/08/01 03:59:59+00,AKASHA BREWING COMPANY,909 E MARKET ST,40206.0,2020/08/01 03:59:59+00,7,FIELD
2074,704094,2020/08/24 03:59:59+00,MCDONALD'S,5630 BARDSTOWN RD,40291.0,2020/08/26 03:59:59+00,7,FIELD
2075,703907,2020/08/19 03:59:59+00,MCDONALD'S,3340 TAYLOR BLVD,40215.0,2020/08/19 03:59:59+00,7,FIELD
2076,702231,2020/07/27 03:59:59+00,KCC COMPANIES,2621 TECHNOLOGY DR,40299.0,2020/08/12 03:59:59+00,7,FIELD
2077,708700,2020/11/11 05:00:00+00,VALU MARKET,7519 OUTER LOOP,40228.0,2020/11/13 05:00:00+00,7,FIELD
2078,703278,2020/08/06 03:59:59+00,SHORTY'S FOOD MART #3,2133 DIXIE HWY,40210.0,2020/08/10 03:59:59+00,7,FIELD
2079,704574,2020/08/29 03:59:59+00,BOB'S DISCOUNT FURNITURE,4805 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,FIELD
2080,702923,2020/08/04 03:59:59+00,SHORTY'S FOOD MART #3,2133 DIXIE HWY,40210.0,2020/08/05 03:59:59+00,7,FIELD
2081,704075,2020/08/21 03:59:59+00,NORTON PAVILION,315 E BROADWAY,40202.0,2020/08/21 03:59:59+00,7,FIELD
2082,702317,2020/07/28 03:59:59+00,RUBY DENTAL AND BRACES,3510 BARDSTOWN ROAD,40218.0,2020/07/28 03:59:59+00,7,FIELD
2083,708785,2020/11/13 05:00:00+00,WARREN TECHNOLOGY INC,1932 CAMPUS PL,40299.0,2020/11/17 05:00:00+00,7,FIELD
2084,703357,2020/08/07 03:59:59+00,SHIVELY ANIMAL CLINIC,2401 DIXIE HWY,40216.0,2020/08/25 03:59:59+00,7,FIELD
2085,704621,2020/09/01 03:59:59+00,DIZZY WHIZ #1,217 W ST. CATHERINE ST,40203.0,2020/09/02 03:59:59+00,7,FIELD
2086,703135,2020/07/25 03:59:59+00,PUBLIC HOUSE,1576 BARDSTOWN RD,40205.0,2020/07/25 03:59:59+00,7,FIELD
2087,704489,2020/08/23 03:59:59+00,ROYALS HOT CHICKEN,10305 TAYLORSVILLE RD,40299.0,2020/08/25 03:59:59+00,7,FIELD
2088,702432,2020/07/29 03:59:59+00,KRAUN ELECTRIC CO,4742 ALLMONT AVE,40209.0,2020/08/06 03:59:59+00,7,FIELD
2089,708809,2020/11/13 05:00:00+00,FAMILY HEALTH CENTER,2215 PORTLAND AVE,40212.0,2020/11/14 05:00:00+00,7,FIELD
2090,703465,2020/08/10 03:59:59+00,TARC,2901 BROADWAY,40211.0,2020/09/17 03:59:59+00,7,FIELD
2091,704625,2020/09/01 03:59:59+00,SHIVELY FOOD MART,3122 DIXIE HWY,40216.0,2020/09/08 03:59:59+00,7,FIELD
2092,703152,2020/07/25 03:59:59+00,O'SHEA'S,956 BAXTER AVE,40205.0,2020/07/25 03:59:59+00,7,FIELD
2093,703157,2020/07/25 03:59:59+00,CHILL BAR HIGHLANDS,1117 BARDSTOWN RD,40204.0,2020/07/25 03:59:59+00,7,FIELD
2094,703517,2020/08/04 03:59:59+00,DOLLAR TREE,2815 W BROADWAY,40211.0,2020/08/11 03:59:59+00,7,FIELD
2095,703718,2020/08/14 03:59:59+00,THE MARBLE METHOD,12418 LAGRANGE RD STE 140,40245.0,2020/08/22 03:59:59+00,7,FIELD
2096,703807,2020/08/15 03:59:59+00,TORAZO MEXICAN RESTAURANT,1850 S HURSTBOURNE PKWY,40220.0,2020/08/15 03:59:59+00,7,FIELD
2097,704034,2020/08/20 03:59:59+00,CIRCLE K #4703363,12415 TAYLORSVILLE RD,40299.0,2020/08/25 03:59:59+00,7,FIELD
2098,704073,2020/08/21 03:59:59+00,KFC,2513 PRESTON HWY,40217.0,2020/08/26 03:59:59+00,7,FIELD
2099,704534,2020/08/29 03:59:59+00,LONGHORN STEAKHOUSE,4813 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,FIELD
2100,704571,2020/08/29 03:59:59+00,OVERSTOCK FURNITURE,4515 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,FIELD
2101,705270,2020/09/14 03:59:59+00,HILLCREST TAVERN,3212 FRANKFORT AVE,40206.0,2020/09/17 03:59:59+00,7,FIELD
2102,705448,2020/09/17 03:59:59+00,POPEYE'S,7723 BARDSTOWN RD,40291.0,2020/10/05 03:59:59+00,7,FIELD
2103,705483,2020/09/17 03:59:59+00,DOLLAR GENERAL #12215,2701 S 4TH ST,40208.0,2020/09/30 03:59:59+00,7,FIELD
2104,705606,2020/09/21 03:59:59+00,FAMOUS DAVE'S,8605 CITADEL WAY,40220.0,2020/10/05 03:59:59+00,7,FIELD
2105,705629,2020/09/17 03:59:59+00,MERIDAY PRESCHOOL,3728 TAYLORSVILLE RD,40220.0,2020/09/23 03:59:59+00,7,FIELD
2106,706139,2020/09/30 03:59:59+00,NATIONAL TOBACCO COMPANY,5201 INTERCHANGE WAY,40229.0,2020/11/12 05:00:00+00,7,FIELD
2107,706391,2020/10/05 03:59:59+00,CATFISH HAVEN,7208 WHIPPLE RD,40272.0,2020/10/04 03:59:59+00,7,FIELD
2108,706457,2020/10/05 03:59:59+00,PAPA JOHN'S #21,3985 S 7TH ST,40216.0,2020/10/06 03:59:59+00,7,FIELD
2109,706854,2020/10/13 03:59:59+00,AYA FOOD MART,438 N 28TH ST,40212.0,2020/10/14 03:59:59+00,7,FIELD
2110,706933,2020/10/13 03:59:59+00,BROAD GROCERY,540 E GRAY ST,40202.0,2020/10/15 03:59:59+00,7,FIELD
2111,707046,2020/10/15 03:59:59+00,GRAB N GO,3110 ROCKFORD LN,40216.0,2020/10/18 03:59:59+00,7,FIELD
2112,707102,2020/10/16 03:59:59+00,BIG O TIRES,4413 CANE RUN RD,40216.0,2020/10/27 03:59:59+00,7,FIELD
2113,707199,2020/10/19 03:59:59+00,PETITE ACADEMY,9505 US HWY 42,40059.0,2020/10/21 03:59:59+00,7,FIELD
2114,707247,2020/10/20 03:59:59+00,THE RESIDENCE INN BY MARRIOTT,3500 SPRINGHURST COMMONS DR,40241.0,2020/10/21 03:59:59+00,7,FIELD
2115,707645,2020/10/27 03:59:59+00,CONCO INC,4000 OAKLAWN DR,40219.0,2020/10/28 03:59:59+00,7,FIELD
2116,707730,2020/10/28 03:59:59+00,TARC,1000 W BROADWAY,40203.0,2020/10/29 03:59:59+00,7,FIELD
2117,707928,2020/10/29 03:59:59+00,POST OFFICE,8127 LAGRANGE RD,40222.0,2020/11/05 05:00:00+00,7,FIELD
2118,708115,2020/11/02 05:00:00+00,MENARDS,9625 PRESTON CROSSING BLVD,40229.0,2020/11/04 05:00:00+00,7,FIELD
2119,708129,2020/11/02 05:00:00+00,SPEEDWAY #9645,7400 OLD 3RD STREET RD,40214.0,2020/11/03 05:00:00+00,7,FIELD
2120,708147,2020/11/03 05:00:00+00,MCATEE COMMUNITY KITCHEN,316 W MAIN ST,40202.0,2020/12/01 05:00:00+00,7,FIELD
2121,708419,2020/11/05 05:00:00+00,QDOBA #2021,970 BRECKENRIDGE LN,40207.0,2020/11/11 05:00:00+00,7,FIELD
2122,708491,2020/11/07 05:00:00+00,LOUISVILLE OVERSTOCK FURNITURE,9070 DIXIE HWY,40258.0,2020/11/07 05:00:00+00,7,FIELD
2123,708654,2020/11/11 05:00:00+00,KROGER L-376,4501 OUTER LOOP,40219.0,2020/11/11 05:00:00+00,7,FIELD
2124,708741,2020/11/12 05:00:00+00,PEDDLERS MALL,191 OUTER LOOP,40214.0,2020/11/16 05:00:00+00,7,FIELD
2125,708744,2020/11/12 05:00:00+00,THE SENIOR BUUILDING CALIFORNIA SQUARE I,1600 GARLAND AVE,40210.0,2020/11/18 05:00:00+00,7,FIELD
2126,709002,2020/11/10 05:00:00+00,JUSTINS' HOUSE OF BOURBON,101 W MARKET ST,40202.0,2020/11/19 05:00:00+00,7,FIELD
2127,709275,2020/11/18 05:00:00+00,PIC PAC,3110 TAYLOR BLVD,40215.0,2020/11/18 05:00:00+00,7,FIELD
2128,709401,2020/11/18 05:00:00+00,UPS,911 GRADE LANE,40219.0,2020/11/23 05:00:00+00,7,FIELD
2129,709934,2020/11/21 05:00:00+00,HIDEOUT PIZZARIA,5620 BARRET LN,40272.0,2020/11/24 05:00:00+00,7,FIELD
2130,710021,2020/11/19 05:00:00+00,HIBBETT SPORTS,6801 DIXIE HWY (HIBBETT SPORTS),40219.0,2020/11/19 05:00:00+00,7,FIELD
2131,710190,2020/11/24 05:00:00+00,STONY BROOK CHILD CARE,5206 ST. GABRIEL LN,40291.0,2020/11/25 05:00:00+00,7,FIELD
2132,710295,2020/11/24 05:00:00+00,SPEEDWAY #5043,4417 DIXIE HWY,40216.0,2020/11/24 05:00:00+00,7,FIELD
2133,710624,2020/11/30 05:00:00+00,GRAB N GO,3110 ROCKFORD LN,40216.0,2020/11/30 05:00:00+00,7,FIELD
2134,710691,2020/12/01 05:00:00+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/12/03 05:00:00+00,7,FIELD
2135,710752,2020/12/02 05:00:00+00,UOFL PHYSICIANS- PRIMARY CARE,6801 DIXIE HWY STE 133,40258.0,2020/12/09 05:00:00+00,7,FIELD
